DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PODOR,DODEL,ADJI BALI,01,463,CLASSE CE1
PODOR,DODEL,BELI THIOVI,01,384,CLASSE CE 1
PODOR,DODEL,DARA ALAYBE,01,569,CLASSE CE1
PODOR,DODEL,DARA ALAYBE,02,561,CLASSE CE2
PODOR,DODEL,DARA ALAYBE,03,553,CM2 A
PODOR,DODEL,DARA ALAYBE,04,386,CLASSE CP
PODOR,DODEL,DIERI DIOUGA,01,456,CLASSE CE1
PODOR,DODEL,DIERI DIOUGA,02,335,CP
PODOR,DODEL,DIOBE,01,242,CLASSE CE1
PODOR,DODEL,DIOMANDOU,01,567,CLASSE CE1
PODOR,DODEL,DIOMANDOU,02,565,CLASSE CE2
PODOR,DODEL,DIOMANDOU,03,124,ECOLE CM1
PODOR,DODEL,DIOUWANABE,01,502,ECOLE DIAMIMBAILA CI
PODOR,DODEL,DODEL,01,589,CLASSE CE1
PODOR,DODEL,DODEL,02,588,CLASSE CE2
PODOR,DODEL,DODEL,03,588,COLLEGE 6 EME  A
PODOR,DODEL,DODEL,04,584,CEM CLASSE 3 EME A
PODOR,DODEL,DODEL,05,589,CLASSE 5EME  COLLEGE
PODOR,DODEL,DODEL,06,586,CLASSE 4EME COLLEGE
PODOR,DODEL,DOUBANGUE,01,517,CLASSE CE1
PODOR,DODEL,ECOLE DIAMAL,01,578,CLASSE CE1
PODOR,DODEL,ECOLE DIAMAL,02,578,CLASSE CE2
PODOR,DODEL,ECOLE DIAMAL,03,47,ECOLE CP1
PODOR,DODEL,ECOLE POURI,01,111,SALLE DE CLASSE
PODOR,DODEL,ECOLE SINTHIOU DANGDE,01,533,CLASSE CP
PODOR,DODEL,ECOLE SINTHIOU DANGDE,02,536,CLASSE CE1
PODOR,DODEL,FAMBAL,01,357,ABRI PROVISOIRE
PODOR,DODEL,GADATY,01,204,SALLE DE CLASSE
PODOR,DODEL,GADATY,02,203,SALLE DE CLASSE
PODOR,DODEL,GAOUDY GOTTY,01,392,CLASSE CE1
PODOR,DODEL,MARDA,01,563,CLASSE CP
PODOR,DODEL,MARDA,02,562,CLASSE CE1
PODOR,DODEL,NDORMBOSS,01,511,CLASSE CE2
PODOR,DODEL,OURO POUREL,01,87,ECOLE NDOGO CI A
PODOR,DODEL,PATHE GALLO,01,585,CLASSE CE2
PODOR,DODEL,PATHE GALLO,02,170,CLASSE CP
PODOR,DODEL,SASSEL TALBE,01,460,CLASSE CE2
PODOR,DODEL,THIALAGA,01,546,CLASSE CE1
PODOR,DODEL,THIALAGA,02,530,CLASSE CE2
PODOR,DODEL,THIALAGA,03,142,CLASSE CP
PODOR,DODEL,THIENEL SAKOBE,01,436,CLASSE CE2
PODOR,DODEL,TOULDE GALLE,01,516,CLASSE CP
PODOR,DODEL,TOULDE GALLE,02,517,CLASSE CE1
PODOR,DODEL,TOULDE GALLE,03,516,CLASSE CE2
PODOR,DODEL,TOULDE GALLE,04,515,CM1 A
