DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PODOR,DOUMGA LAO,AERE POSTE,01,330,CLASSE CE2
PODOR,DOUMGA LAO,AERE POSTE,02,330,CLASSE CP
PODOR,DOUMGA LAO,AVGALI,01,329,CLASSE CE2
PODOR,DOUMGA LAO,AVGALI,02,329,CLASSE CP
PODOR,DOUMGA LAO,BARKEDJI HOUDIABE,01,306,CLASSE CE2
PODOR,DOUMGA LAO,BARKEDJI HOUDIABE,02,304,CM1
PODOR,DOUMGA LAO,BOKI,01,435,CLASSE CE2
PODOR,DOUMGA LAO,BOKI,02,436,CLASSE CP
PODOR,DOUMGA LAO,BOKI,03,436,CLASSE CM2
PODOR,DOUMGA LAO,COGGA,01,462,CLASSE CE1
PODOR,DOUMGA LAO,DIAYNGA PEULH,01,476,ABRI PROVISOIRE
PODOR,DOUMGA LAO,DIAYNGA SOUBALO,01,479,CLASSE CE2
PODOR,DOUMGA LAO,DOUMGA,01,520,CLASSE CE2
PODOR,DOUMGA LAO,DOUMGA,02,519,CLASSE CP
PODOR,DOUMGA LAO,DOUMGA,03,518,CLASSE CM 1
PODOR,DOUMGA LAO,DOUMGA,04,523,CLASSE CI
PODOR,DOUMGA LAO,HOUDALAYE,01,256,CLASSE CI
PODOR,DOUMGA LAO,KOYLEL,01,270,CLASSE CE1
PODOR,DOUMGA LAO,MELEL,01,158,ABRI PROVISOIRE
PODOR,DOUMGA LAO,NDOMANABE,01,331,ABRI PROVISOIRE
PODOR,DOUMGA LAO,NDOMANABE,02,331,ABRI PROVISOIRE
PODOR,DOUMGA LAO,OUROURBE BEMBA,01,152,ABRI PROVISOIRE
PODOR,DOUMGA LAO,OUROURBE BEMBA,02,153,ABRI PROVISOIRE
PODOR,DOUMGA LAO,SYVALBE,01,596,ABRI PROVISOIRE
PODOR,DOUMGA LAO,SYVALBE,02,597,ABRI PROVISOIRE
PODOR,DOUMGA LAO,THIEWEL,01,495,CLASSE CE2
PODOR,DOUMGA LAO,THILLY,01,215,CLASSE CE2
PODOR,DOUMGA LAO,TOULDE ROUBOUNDE,01,293,ABRI PROVISOIRE
PODOR,DOUMGA LAO,VANDE,01,377,CLASSE CE1
PODOR,DOUMGA LAO,VETHIANCOBE,01,253,ABRI PROVISOIRE
PODOR,DOUMGA LAO,VODABE PENAKA,01,417,CLASSE CE2
PODOR,DOUMGA LAO,VODABE PENAKA,02,417,CLASSE CP
PODOR,DOUMGA LAO,VORDE,01,352,CLASSE CE2
PODOR,DOUMGA LAO,WOURO ARDO,01,527,ABRI PROVISOIRE
PODOR,DOUMGA LAO,YARE LAO,01,564,CLASSE CP
PODOR,DOUMGA LAO,YARE LAO,02,564,CLASSE CE2
