DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PODOR,FANAYE,BAKARNABE,1,584.0,ABRI PROVISOIRE
PODOR,FANAYE,BELEL BOGAL,1,514.0,CLASSE CE2
PODOR,FANAYE,BELEL BOGAL,2,514.0,CLASSE CMI ECOLE
PODOR,FANAYE,DARA SALAM,1,491.0,CLASSE CI
PODOR,FANAYE,DIAGNOUM DIAOBE,1,398.0,CLASSE CE1
PODOR,FANAYE,DIAGNOUM DIAOBE,2,396.0,CLASSE CM1
PODOR,FANAYE,DIALMATHE,1,586.0,CLASSE CM2
PODOR,FANAYE,DIALMATHE,2,587.0,CLASSE CI
PODOR,FANAYE,DIALMATHE,3,586.0,CLASSE CE1
PODOR,FANAYE,DIALMATHE,4,586.0,CLASSE CP B
PODOR,FANAYE,DIMAT WALO,1,440.0,CLASSE CE1
PODOR,FANAYE,FANAYE,1,560.0,CLASSE CM2A
PODOR,FANAYE,FANAYE,2,568.0,CLASSE CM1B
PODOR,FANAYE,FANAYE,3,551.0,CM1A
PODOR,FANAYE,FANAYE,4,567.0,CLASSE CE1B
PODOR,FANAYE,FANAYE,5,570.0,CLASSE CE2B
PODOR,FANAYE,FANAYE,6,561.0,CLASSE CE2A
PODOR,FANAYE,FANAYE,7,560.0,CEM FANAYE
PODOR,FANAYE,FANAYE,8,555.0,CEM FANAYE
PODOR,FANAYE,FANAYE,9,553.0,CEM FANAYE
PODOR,FANAYE,FANAYE,10,549.0,CEM FANAYE
PODOR,FANAYE,FANAYE,11,550.0,CEM FANAYE
PODOR,FANAYE,FANAYE WALO,1,429.0,CLASSE CM1
PODOR,FANAYE,FANAYE WALO,2,322.0,CLASSE CM2 A
PODOR,FANAYE,FETE DOUNDO SENO,1,446.0,ABRI PROVISOIRE
PODOR,FANAYE,FORAGE WENDOU OULD,1,233.0,ABRI PROVISOIRE
PODOR,FANAYE,MEDINA KHAIRI,1,187.0,ABRI PROVISOIRE
PODOR,FANAYE,NDIEURBA,1,574.0,CLASSE CM1
PODOR,FANAYE,NDIEURBA,2,578.0,CLASSE CE2
PODOR,FANAYE,NDIEURBA,3,113.0,CLASSE CP
PODOR,FANAYE,PAMBINABE,1,520.0,ABRI PROVISOIRE
PODOR,FANAYE,SALNDE FANAYE,1,449.0,CLASSE CE1
PODOR,FANAYE,SALNDE FANAYE,2,451.0,CLASSE CP ECOLE
PODOR,FANAYE,TATKI,1,548.0,CLASSE CM1
PODOR,FANAYE,TATKI,2,550.0,CLASSE CE1
PODOR,FANAYE,TATKI,3,544.0,CLASSE CP ECOLE
PODOR,FANAYE,TATKI,4,177.0,CLASSE CI
PODOR,FANAYE,THIANGAYE,1,573.0,CLASSE CE1
PODOR,FANAYE,THIANGAYE,2,573.0,CLASSE CM1
PODOR,FANAYE,THIANGAYE,3,575.0,CLASSE CM2 ECOLE
PODOR,FANAYE,THIANGAYE,4,308.0,CLASSE CM1 A
