DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PODOR,MBOLO BIRANE,BOKE YALALBE,1,410.0,SALLE DE CLASSE CP
PODOR,MBOLO BIRANE,BOUGUEL BELLI EDI,1,486.0,SALLE DE CLASSE CI
PODOR,MBOLO BIRANE,BOUGUEL BELLI EDI,2,487.0,SALLE DE CLASSE CP
PODOR,MBOLO BIRANE,DIABA DEKLE,1,570.0,SALLE DE CLASSE CI
PODOR,MBOLO BIRANE,DIABA DEKLE,2,161.0,CLASSE CP
PODOR,MBOLO BIRANE,DIABA LIDOUBE,1,588.0,SALLE DE CLASSE CM1
PODOR,MBOLO BIRANE,DIABA LIDOUBE,2,591.0,SALLE DE CLASSE CE1 B
PODOR,MBOLO BIRANE,DIABA LIDOUBE,3,589.0,SALLE DE CLASSE CM2
PODOR,MBOLO BIRANE,ECOLE GANGUEL,1,286.0,SALLE DE CLASSE CP
PODOR,MBOLO BIRANE,ECOLE THILAMOL DIABANABE,1,552.0,SALLE DE CLASSE CE2
PODOR,MBOLO BIRANE,GALOYA PEULH,1,458.0,ABRI PROVISOIRE
PODOR,MBOLO BIRANE,GALOYA PEULH,2,458.0,ABRI PROVISOIRE
PODOR,MBOLO BIRANE,GALOYA PEULH,3,461.0,ABRI PROVISOIRE
PODOR,MBOLO BIRANE,GUIRVASS,1,26.0,ABRI PROVISOIRE
PODOR,MBOLO BIRANE,KOUNADY,1,80.0,ABRI PROVISOIRE
PODOR,MBOLO BIRANE,LOUGUE PEULH,1,271.0,ABRI PROVISOIRE
PODOR,MBOLO BIRANE,LOUGUE PEULH,2,272.0,ABRI PROVISOIRE
PODOR,MBOLO BIRANE,LOUGUE SEBE,1,445.0,SALLE DE CLASSE CI
PODOR,MBOLO BIRANE,LOUGUE TOROBE,1,363.0,SALLE DE CLASSE CM1
PODOR,MBOLO BIRANE,LOUGUE TOROBE,2,364.0,SALLE DE CLASSE CM2
PODOR,MBOLO BIRANE,LOUR SEBE,1,336.0,SALLE DE CLASSE CI
PODOR,MBOLO BIRANE,MBOLO ALI SIDI,1,564.0,SALLE DE CLASSE CI
PODOR,MBOLO BIRANE,MBOLO ALI SIDI,2,167.0,SALLE DE CLASSE
PODOR,MBOLO BIRANE,MBOLO BIRANE,1,552.0,SALLE DE CLASSE CM2
PODOR,MBOLO BIRANE,MBOLO BIRANE,2,552.0,SALLE DE CLASSE CP
PODOR,MBOLO BIRANE,MBOLO BIRANE,3,550.0,ECOLE ELEMENTAIRE
PODOR,MBOLO BIRANE,MBOLO BIRANE,4,553.0,CLASSE CI
PODOR,MBOLO BIRANE,SAMBOWTE,1,249.0,CLASSE CM1
PODOR,MBOLO BIRANE,SINTHIOU AMADOU MARIAM,1,492.0,SALLE DE CLASSE CI
PODOR,MBOLO BIRANE,SINTHIOU AMADOU MARIAM,2,488.0,SALLE DE CLASSE CP
PODOR,MBOLO BIRANE,THIABOURLE,1,269.0,CLASSE CI
PODOR,MBOLO BIRANE,THILOUKI,1,446.0,SALLE DECLASSE CM1
PODOR,MBOLO BIRANE,THILOUKI,2,444.0,SALLE DE CLASSE CM2
PODOR,MBOLO BIRANE,TOUFNDE GANDE,1,463.0,SALLE DE CLASSE CE2
