DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PODOR,NDIAYENE PEINDAO,BAKAW,1,308.0,CLASSE CM2
PODOR,NDIAYENE PEINDAO,BELLY GONADJY,1,458.0,ABRI PROVISOIRE
PODOR,NDIAYENE PEINDAO,DIABOBE,1,303.0,CLASSE CM2
PODOR,NDIAYENE PEINDAO,DIAMEL,1,356.0,CLASSE CE2
PODOR,NDIAYENE PEINDAO,DIARDE,1,212.0,CLASSE CE2
PODOR,NDIAYENE PEINDAO,DIOFNDE DIALLY,1,430.0,CLASSE CM1
PODOR,NDIAYENE PEINDAO,DIOFNDE DIALLY,2,431.0,CLASSE CE1
PODOR,NDIAYENE PEINDAO,FIGO,1,432.0,CLASSE CE1
PODOR,NDIAYENE PEINDAO,HAMEDOULA,1,322.0,ABRI PROVISOIRE
PODOR,NDIAYENE PEINDAO,HIWIRGO,1,335.0,ABRI PROVISOIRE
PODOR,NDIAYENE PEINDAO,KADIOGNE,1,558.0,CLASSE CE2
PODOR,NDIAYENE PEINDAO,KADIOGNE,2,558.0,CLASSE CM1
PODOR,NDIAYENE PEINDAO,KADIOGNE,3,558.0,CLASSE CM2 ECOLE
PODOR,NDIAYENE PEINDAO,LOBOUDOU DOUE,1,506.0,CLASSE CE2
PODOR,NDIAYENE PEINDAO,LOBOUDOU DOUE,2,506.0,CLASSE CM1
PODOR,NDIAYENE PEINDAO,LOBOUDOU DOUE,3,506.0,CLASSE CM2
PODOR,NDIAYENE PEINDAO,NDIAYENE SARE,1,449.0,CLASSE CE1
PODOR,NDIAYENE PEINDAO,NDIAYENE SARE,2,449.0,CLASSE CM1
PODOR,NDIAYENE PEINDAO,NGUENDAR,1,499.0,CLASSE CM1
PODOR,NDIAYENE PEINDAO,NGUENDAR,2,482.0,CLASSE CM2
PODOR,NDIAYENE PEINDAO,NGUENDAR,3,182.0,CLASSE CI
PODOR,NDIAYENE PEINDAO,NIANGA DIERY,1,158.0,CLASSE CE1
PODOR,NDIAYENE PEINDAO,PEINDAO,1,562.0,CLASSE CE2
PODOR,NDIAYENE PEINDAO,PEINDAO,2,563.0,CLASSE CM2
PODOR,NDIAYENE PEINDAO,PEINDAO,3,568.0,CLASSE CP
PODOR,NDIAYENE PEINDAO,PEINDAO,4,519.0,CLASSE CI A
PODOR,NDIAYENE PEINDAO,PETEL,1,511.0,ABRI PROVISOIRE
PODOR,NDIAYENE PEINDAO,PETEOLE,1,320.0,ABRI PROVISOIRE
PODOR,NDIAYENE PEINDAO,SENO BOVAL,1,539.0,CLASSE CM1
PODOR,NDIAYENE PEINDAO,SIMA KIRAYE,1,274.0,ABRI PROVISOIRE
PODOR,NDIAYENE PEINDAO,THIEOLE,1,312.0,CLASSE CM1
PODOR,NDIAYENE PEINDAO,THIEOLE,2,312.0,CLASSE CE1
PODOR,NDIAYENE PEINDAO,THILLE BOUBACAR,1,518.0,CLASSE CM2B
PODOR,NDIAYENE PEINDAO,THILLE BOUBACAR,2,520.0,CLASSE C1A
PODOR,NDIAYENE PEINDAO,THILLE BOUBACAR,3,508.0,CLASSE CM2A
PODOR,NDIAYENE PEINDAO,THILLE BOUBACAR,4,413.0,CLASSE CE1 B
PODOR,NDIAYENE PEINDAO,TIVAOUANE 2,1,179.0,CLASSE CE2
PODOR,NDIAYENE PEINDAO,WENDOU CIRE,1,525.0,ABRI PROVISOIRE
PODOR,NDIAYENE PEINDAO,WOURO DOULEL MBARICK,1,150.0,CLASSE CI
PODOR,NDIAYENE PEINDAO,WOURO KELLE,1,322.0,ABRI PROVISOIRE
