DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PODOR,NDIOUM,DIEDIOUBA,1,523.0,CM2
PODOR,NDIOUM,DIEDIOUBA,2,524.0,SALLE DE CLASSE
PODOR,NDIOUM,NDIOUM DIERY,1,562.0,CM2 A
PODOR,NDIOUM,NDIOUM DIERY,2,555.0,NDIOUM 2 CLASSE CM 2 B
PODOR,NDIOUM,NDIOUM DIERY,3,561.0,NDIOUM 63 CLASSE CE 2 A
PODOR,NDIOUM,NDIOUM DIERY,4,556.0,NDIOUM 4 CLASSE CE 2 B
PODOR,NDIOUM,NDIOUM DIERY,5,557.0,NDIOUM 5 CLASSE CM 1 B
PODOR,NDIOUM,NDIOUM DIERY,6,551.0,CM1 A
PODOR,NDIOUM,NDIOUM DIERY,7,548.0,CE1 B
PODOR,NDIOUM,NDIOUM DIERY,8,552.0,CLASSE CP A
PODOR,NDIOUM,NDIOUM DIERY,9,472.0,SALLE DE CLASSE
PODOR,NDIOUM,NDIOUM WALO,1,584.0,CM2 B
PODOR,NDIOUM,NDIOUM WALO,2,584.0,CIA
PODOR,NDIOUM,NDIOUM WALO,3,584.0,CE 1
PODOR,NDIOUM,NIANGA,1,550.0,CE1 B
PODOR,NDIOUM,NIANGA,2,547.0,NIANGA 2 CLASSE CM 2 B
PODOR,NDIOUM,NIANGA,3,552.0,CP B
PODOR,NDIOUM,NIANGA,4,552.0,CP A
PODOR,NDIOUM,OULAD BERRY,1,579.0,CP B
PODOR,NDIOUM,OULAD BERRY,2,578.0,OULAD BERRY 2 CLASSE CM 2 A
PODOR,NDIOUM,OULAD BERRY,3,579.0,CM2
PODOR,NDIOUM,OULAD BERRY,4,576.0,CLASSE CM2
