REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SAINT LOUIS,DAGANA,BOKHOL,ARRIVELE 1,01,440,CLASSE CP
SAINT LOUIS,DAGANA,BOKHOL,ARRIVELE 2,01,122,CLASSE CE1
SAINT LOUIS,DAGANA,BOKHOL,BELEL GAOUDI,01,538,CLASSE CP
SAINT LOUIS,DAGANA,BOKHOL,BELEL GAOUDI,02,63,CLASSE CE1
SAINT LOUIS,DAGANA,BOKHOL,BELEL HARMANABE,01,128,ABRI RPOVISOIRE
SAINT LOUIS,DAGANA,BOKHOL,BOKHOL,01,572,CLASSE CI
SAINT LOUIS,DAGANA,BOKHOL,BOKHOL,02,572,CLASSE CE 1
SAINT LOUIS,DAGANA,BOKHOL,BOKHOL,03,571,CLASSE CM 1
SAINT LOUIS,DAGANA,BOKHOL,BOKHOL,04,572,CLASSE CM 2
SAINT LOUIS,DAGANA,BOKHOL,BOKHOL,05,573,CLASSE CE1 A
SAINT LOUIS,DAGANA,BOKHOL,BOKHOL,06,572,CLASSE CP
SAINT LOUIS,DAGANA,BOKHOL,DAR ES SALAM,01,218,CLSSE CI
SAINT LOUIS,DAGANA,BOKHOL,DIAVALEDJI,01,77,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,BOKHOL,ECOLE KEUR MBAYE 2,01,177,CLASSE CE1
SAINT LOUIS,DAGANA,BOKHOL,ECOLE NGAMBOU THILLE,01,147,CLASSE CE2
SAINT LOUIS,DAGANA,BOKHOL,GALLODJINA 1,01,487,CLASSE CI
SAINT LOUIS,DAGANA,BOKHOL,GUEUM YALLA,01,261,CLASSE CM 1
SAINT LOUIS,DAGANA,BOKHOL,GUIDAKHAR,01,308,CLASSE CP
SAINT LOUIS,DAGANA,BOKHOL,GUIDAKHAR,02,308,SALLE DE CLASSE
SAINT LOUIS,DAGANA,BOKHOL,KEUR MALAL TALAB,01,586,CLASSE CE2
SAINT LOUIS,DAGANA,BOKHOL,KEUR MALAL TALAB,02,16,CLASSE CE1
SAINT LOUIS,DAGANA,BOKHOL,KEUR MBAYE 1,01,526,CLASSE CE 2
SAINT LOUIS,DAGANA,BOKHOL,KEUR MBAYE NDIOGOU,01,201,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,BOKHOL,KEUR MBAYE PEULH,01,182,CLASSE CP
SAINT LOUIS,DAGANA,BOKHOL,KEUR MOR IBRA,01,183,CLASSE CE1
SAINT LOUIS,DAGANA,BOKHOL,KHARE,01,408,CLASSE CP
SAINT LOUIS,DAGANA,BOKHOL,LOUMBOUL SOUMANABE,01,366,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,BOKHOL,MBILOR,01,411,CLASSE CE 1
SAINT LOUIS,DAGANA,BOKHOL,MBILOR,02,410,CLASSE CE 2
SAINT LOUIS,DAGANA,BOKHOL,MERY,01,143,CLASSE CE 1
SAINT LOUIS,DAGANA,BOKHOL,MERY,02,143,CLASSE CM 1
SAINT LOUIS,DAGANA,BOKHOL,NDIODOUNE,01,83,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,BOKHOL,SOVONABE 2,01,79,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,BOKHOL,SOVONABE VENDOU FANDOU,01,142,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,BOKHOL,TOUCOULEUR DJIDIERI,01,399,CLASSE CE 1
SAINT LOUIS,DAGANA,BOKHOL,VINDOU FANDOU SAM,01,79,CLASSE CM 1
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALGOR DIOUM,01,578,CLASSE CM2A
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALGOR DIOUM,02,567,CLASSE CM1A
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALGOR DIOUM,03,577,CLASSE CE2B
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALGOR DIOUM,04,569,CLASSE CE1A
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALGOR DIOUM,05,574,CLASSE CPA
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALGOR DIOUM,06,569,CLASSE CIA
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALGOR DIOUM,07,554,SALLE DE CLASSE
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALGOR DIOUM,08,549,SALLE DE CLASSE
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALGOR DIOUM,09,549,SALLE DE CLASSE
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALGOR DIOUM,10,548,ECOLE MATERNELLE COMMUNALE
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALGOR DIOUM,11,549,ECOLE MATERNELLE COMMUNALE
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALGOR DIOUM,12,549,ECOLE MATERNELLE COMMUNALE
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALIOUNE SARR,01,578,CLASSE CM2A
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALIOUNE SARR,02,580,CLASSE CM1A
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALIOUNE SARR,03,577,CLASSECE2B
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALIOUNE SARR,04,363,SALLE DE CLASSE
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALIOUNE SARR,05,363,SALLE DE CLASSE
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALIOUNE SARR,06,363,SALLE DE CLASSE
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALIOUNE SARR,07,361,SALLE DE CLASSE
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,01,580,CLASSE CM2A
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,02,576,CLASSE CM1A
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,03,581,CLASSE CE2B
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,04,576,CLASSE CM2 B
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,05,572,SALLE DE CLASSE
SAINT LOUIS,DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,06,243,SALLE DE CLASSE
SAINT LOUIS,DAGANA,DAGANA,ECOLE MEDINA CHERIF,01,515,CLASSE CM2
SAINT LOUIS,DAGANA,DAGANA,ECOLE MEDINA CHERIF,02,514,CLASSE CE1
SAINT LOUIS,DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,01,552,LYCEE A. MAYORO WELLE SALLE 1
SAINT LOUIS,DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,02,560,SALLE 3
SAINT LOUIS,DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,03,570,SALLE 5
SAINT LOUIS,DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,04,556,SALLE 7
SAINT LOUIS,DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,05,557,SALLE 9
SAINT LOUIS,DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,06,555,SALLE 11
SAINT LOUIS,DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,07,398,SALLE DE CLASSE
SAINT LOUIS,DAGANA,DIAMA,AL WATHIAM,01,256,CLASSE CI
SAINT LOUIS,DAGANA,DIAMA,ASSITOYE,01,259,SALLE DE CLASSE
SAINT LOUIS,DAGANA,DIAMA,DEBI,01,461,CLASSE CE 1
SAINT LOUIS,DAGANA,DIAMA,DEBI,02,461,CLASSE CM 1
SAINT LOUIS,DAGANA,DIAMA,DEMIZINE,01,251,CLASSE CI
SAINT LOUIS,DAGANA,DIAMA,DIADIAM 1,01,329,CLASSE CE 2
SAINT LOUIS,DAGANA,DIAMA,DIADIAM 3,01,237,CLASSE CI
SAINT LOUIS,DAGANA,DIAMA,DIAGAMBAL 1,01,475,CLASSE CI
SAINT LOUIS,DAGANA,DIAMA,DIAGAMBAL 1,02,476,CLASSE CM 2
SAINT LOUIS,DAGANA,DIAMA,DIAGAMBAL 2,01,527,CLASSE CI
SAINT LOUIS,DAGANA,DIAMA,DIAMA YALAR,01,561,CLASSE CI
SAINT LOUIS,DAGANA,DIAMA,DIAMA YALAR,02,557,CLASSE CM 1
SAINT LOUIS,DAGANA,DIAMA,DIAMA YALAR,03,553,SALLE DE CLASSE
SAINT LOUIS,DAGANA,DIAMA,DIAMA YALAR,04,135,CLASSE CM2 A
SAINT LOUIS,DAGANA,DIAMA,ECOLE GANDIAYE,01,297,CLASSE CM2
SAINT LOUIS,DAGANA,DIAMA,ECOLE MBOLTOGNE,01,229,CLASSE CI
SAINT LOUIS,DAGANA,DIAMA,ECOLE PONT GENDARME,01,297,CLASSE CM2
SAINT LOUIS,DAGANA,DIAMA,ECOLE SAVOIGNE PEULH,01,308,SALLE DE CLASSE
SAINT LOUIS,DAGANA,DIAMA,EL DEBOUBACK 1,01,551,CLASSE CI
SAINT LOUIS,DAGANA,DIAMA,EL DEBOUBACK 2,01,292,CLASSE CP
SAINT LOUIS,DAGANA,DIAMA,EL NGOURANE 1,01,264,CLASSE CP
SAINT LOUIS,DAGANA,DIAMA,MBOUBENE PEULH,01,307,CLASSE CM2
SAINT LOUIS,DAGANA,DIAMA,MBOUNDOUM BARRAGE,01,574,CLASSE CE 2
SAINT LOUIS,DAGANA,DIAMA,MBOUNDOUM BARRAGE,02,566,CLASSE CP 2
SAINT LOUIS,DAGANA,DIAMA,MBOUNDOUM BARRAGE,03,565,CLASSE CM 1
SAINT LOUIS,DAGANA,DIAMA,MBOUNDOUM BARRAGE,04,149,CLASSE CI A
SAINT LOUIS,DAGANA,DIAMA,NDELLE,01,489,CLASSE CP 2
SAINT LOUIS,DAGANA,DIAMA,NDELLE,02,488,CLASSE CM 1
SAINT LOUIS,DAGANA,DIAMA,NDIAYE NGUINT,01,548,CLASSE CE 1
SAINT LOUIS,DAGANA,DIAMA,NDIAYE NGUINT,02,548,CLASSE CE 2
SAINT LOUIS,DAGANA,DIAMA,NDIOL MAURE,01,422,CLASSE CP 2
SAINT LOUIS,DAGANA,DIAMA,NDIOL MAURE,02,421,CLASSE CM 1
SAINT LOUIS,DAGANA,DIAMA,NDIOUNGUE MBERESSE,01,355,CLASSE CM2 A
SAINT LOUIS,DAGANA,DIAMA,NDIOUNGUE MBERESSE,02,355,CLASSE CE 1
SAINT LOUIS,DAGANA,DIAMA,NIASSENE,01,387,CLASSE CM 1
SAINT LOUIS,DAGANA,DIAMA,NIASSENE,02,386,CLASSE CI
