DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SAINT LOUIS,FASS NGOM,BIDIAM MOURIDE,1,178.0,ECOLE CLASSE CP
SAINT LOUIS,FASS NGOM,ECOLE ELEMENTAIRE BOUBACAR MEDINA BAYE,1,282.0,CLASSE CI A
SAINT LOUIS,FASS NGOM,ECOLE FASS NGOM,1,584.0,CLASSE CE 1
SAINT LOUIS,FASS NGOM,ECOLE FASS NGOM,2,583.0,CLASSE CM 1
SAINT LOUIS,FASS NGOM,ECOLE FASS NGOM,3,583.0,CLASSE CM 2
SAINT LOUIS,FASS NGOM,ECOLE FASS NGOM,4,584.0,CLASSE CI A
SAINT LOUIS,FASS NGOM,ECOLE FASS NGOM,5,583.0,SALLE DE CLASSE
SAINT LOUIS,FASS NGOM,GOGNO CADIOR,1,490.0,CLASSE CP
SAINT LOUIS,FASS NGOM,KHATETE GAYE,1,336.0,CLASSE CE 1
SAINT LOUIS,FASS NGOM,MBAKHASS OUOLOF,1,127.0,CLASSE CM2
SAINT LOUIS,FASS NGOM,MBATHIASSE DIEYE,1,530.0,CLASSE CI
SAINT LOUIS,FASS NGOM,MBAYE MBAYE OUOLOF,1,236.0,ABRI PROVISOIRE
SAINT LOUIS,FASS NGOM,MBAYE MBAYE SARR,1,524.0,CLASSE CE
SAINT LOUIS,FASS NGOM,MBIRANE GAYE PEULH,1,231.0,CLASSE CM2
SAINT LOUIS,FASS NGOM,MBOULOUCK,1,380.0,CLASSE CI
SAINT LOUIS,FASS NGOM,MBOYE,1,406.0,CLASSE CE 1
SAINT LOUIS,FASS NGOM,NDABE SOW,1,145.0,ECOLE NDABE SOW:CLASSE CE1
SAINT LOUIS,FASS NGOM,NDAKHAR PEULH 1,1,445.0,CLASSE CI
SAINT LOUIS,FASS NGOM,NDIOUMNANE,1,350.0,CLASSE CI
SAINT LOUIS,FASS NGOM,NDIOUSS DIEYE,1,375.0,CLASSE CE 2
SAINT LOUIS,FASS NGOM,TAKHMBEUTH OUOLOF,1,325.0,CLASSE CE 1
SAINT LOUIS,FASS NGOM,TEUD BITTI,1,428.0,CLASSE CP
