DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SAINT LOUIS,GANDON,BOP THIOR,1,128.0,CLASSE CP
SAINT LOUIS,GANDON,BOUDIOUCK,1,461.0,ECOLE CLASSE CI
SAINT LOUIS,GANDON,BOUDIOUCK,2,334.0,ECOLE SALLE DE CLASSE
SAINT LOUIS,GANDON,DIAMA THIAGUEL,1,143.0,ABRI PROVISOIRE
SAINT LOUIS,GANDON,DIOUGOB PEULH,1,484.0,CLASSE CI
SAINT LOUIS,GANDON,DIOUGOB PEULH,2,486.0,CLASSE CE1
SAINT LOUIS,GANDON,DIOUGOB PEULH,3,485.0,SALLE DE CLASSE
SAINT LOUIS,GANDON,GANDON,1,560.0,CLASSE CE1
SAINT LOUIS,GANDON,GANDON,2,561.0,CLASSE CM1
SAINT LOUIS,GANDON,GANDON,3,562.0,SALLE DE CLASSE
SAINT LOUIS,GANDON,LAMPSAR,1,512.0,CLASSE CE2
SAINT LOUIS,GANDON,LAMPSAR,2,511.0,CLASSE CM1
SAINT LOUIS,GANDON,LEYBAR,1,441.0,CLASSE CI
SAINT LOUIS,GANDON,MAKA TOUBE,1,589.0,CLASSE CP
SAINT LOUIS,GANDON,MAKA TOUBE,2,590.0,CLASSE CE1
SAINT LOUIS,GANDON,MAKHANA,1,343.0,CLASSE CM2
SAINT LOUIS,GANDON,MAKHANA,2,343.0,SALLE DE CLASSE
SAINT LOUIS,GANDON,MBARIGO,1,449.0,CLASSE CP
SAINT LOUIS,GANDON,MBARIGO,2,450.0,ECOLE BARIGOT CM1
SAINT LOUIS,GANDON,MERINA SALL,1,467.0,CLASSE CI
SAINT LOUIS,GANDON,MINGUEGNE BOYE,1,377.0,CLASSE CP
SAINT LOUIS,GANDON,MINGUEGNE BOYE,2,376.0,CLASSE CE1
SAINT LOUIS,GANDON,NDIAKHERE,1,341.0,CLASSE CI
SAINT LOUIS,GANDON,NDIAKHERE,2,342.0,ECOLE CLASSE CE1
SAINT LOUIS,GANDON,NDIAKHIP 2,1,435.0,CLASSE CP
SAINT LOUIS,GANDON,NDIAOUSSIR LEBOU,1,583.0,CLASSE CE1
SAINT LOUIS,GANDON,NDIAOUSSIR LEBOU,2,130.0,CLASSE CI
SAINT LOUIS,GANDON,NDIAWDOUNE,1,486.0,CLASSE CE2
SAINT LOUIS,GANDON,NDIAWDOUNE,2,487.0,CLASSE CI
SAINT LOUIS,GANDON,NDIAWDOUNE,3,488.0,SALLE DE CLASSE
SAINT LOUIS,GANDON,NDIEBENE TOUBE OUOLOF,1,503.0,CLASSE CI
SAINT LOUIS,GANDON,NDIEBENE TOUBE OUOLOF,2,503.0,CLASSE CE1
SAINT LOUIS,GANDON,NDIEBENE TOUBE OUOLOF,3,502.0,CLASSE CM2
SAINT LOUIS,GANDON,NDIEBENE TOUBE PEULH,1,448.0,ECOLE CLASSE CM 1
SAINT LOUIS,GANDON,NGAYE,1,530.0,CLASSE CP
SAINT LOUIS,GANDON,NGAYE NGAYE,1,571.0,CLASSE CE1
SAINT LOUIS,GANDON,NGAYE NGAYE,2,565.0,CLASSE CP
SAINT LOUIS,GANDON,NGAYE NGAYE,3,570.0,CLASSE CE2
SAINT LOUIS,GANDON,NGAYE NGAYE,4,241.0,CLASSE CE1 A
SAINT LOUIS,GANDON,NGUIGALAKH OUOLOF,1,496.0,CLASSE CE1
SAINT LOUIS,GANDON,NGUIGALAKH PEULH,1,467.0,CLASSE CP
SAINT LOUIS,GANDON,PANKET SARR,1,114.0,ABRI PROVISOIRE
SAINT LOUIS,GANDON,RAO,1,584.0,CLASSE CP
SAINT LOUIS,GANDON,RAO,2,585.0,CLASSE CE2
SAINT LOUIS,GANDON,RAO,3,585.0,CLASSE CM1
SAINT LOUIS,GANDON,RAO,4,582.0,CLASSE CI
SAINT LOUIS,GANDON,RAO,5,584.0,CLASSE CM2
SAINT LOUIS,GANDON,RAO PEULH,1,514.0,CLASSE CE1
SAINT LOUIS,GANDON,RAO PEULH,2,513.0,CLASSE CM1
SAINT LOUIS,GANDON,SANAR,1,326.0,CLASSE CI
SAINT LOUIS,GANDON,SANAR,2,322.0,CLASSE CP
SAINT LOUIS,GANDON,SANAR,3,324.0,CLASSE CE1
SAINT LOUIS,GANDON,THILLA,1,421.0,ABRI PROVISOIRE
SAINT LOUIS,GANDON,TOUBA GUENE,1,380.0,ABRI PROVISOIRE
SAINT LOUIS,GANDON,YAMANE SOGUE,1,413.0,ABRI PROVISOIRE
