DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SAINT LOUIS,NDIEBENE GANDIOLE,DEGOU NIAYE,1,565.0,ABRI PROVISOIRE
SAINT LOUIS,NDIEBENE GANDIOLE,DEGOU NIAYE,2,79.0,CLASSE CP A
SAINT LOUIS,NDIEBENE GANDIOLE,DIELE MBAME,1,485.0,CLASSE CE2
SAINT LOUIS,NDIEBENE GANDIOLE,DOUNE BABA DIEYE,1,95.0,ECOLE DIELE MBAME CM 2
SAINT LOUIS,NDIEBENE GANDIOLE,ECOLE NDIOL GANDIOL,1,194.0,CLASSE CE1
SAINT LOUIS,NDIEBENE GANDIOLE,GANTOUR,1,467.0,CLASSE CP
SAINT LOUIS,NDIEBENE GANDIOLE,GANTOUR,2,289.0,CLASSE CE2
SAINT LOUIS,NDIEBENE GANDIOLE,KEUR BARKA,1,533.0,CLASSE CI
SAINT LOUIS,NDIEBENE GANDIOLE,KEUR BARKA,2,164.0,CLASSE CM1 A
SAINT LOUIS,NDIEBENE GANDIOLE,LA BARRE,1,530.0,ECOLE CLASSE CE 2 B
SAINT LOUIS,NDIEBENE GANDIOLE,LA BARRE,2,276.0,ECOLE SALLE DE CLASSE
SAINT LOUIS,NDIEBENE GANDIOLE,LAHRAR 2,1,542.0,CLASSE CE1
SAINT LOUIS,NDIEBENE GANDIOLE,LAHRAR 2,2,72.0,CLASSE CI
SAINT LOUIS,NDIEBENE GANDIOLE,MBOUMBAYE,1,472.0,CLASSE CE2
SAINT LOUIS,NDIEBENE GANDIOLE,MBOUMBAYE,2,472.0,CLASSE CI
SAINT LOUIS,NDIEBENE GANDIOLE,MOUIT,1,525.0,CLASSE CM1
SAINT LOUIS,NDIEBENE GANDIOLE,MOUIT,2,526.0,CLASSE CM2
SAINT LOUIS,NDIEBENE GANDIOLE,NDIEBENE GANDIOL,1,536.0,ECOLE NDIEBENE. G. SALLE DE CLASSE
SAINT LOUIS,NDIEBENE GANDIOLE,NDIEBENE GANDIOL,2,538.0,ECOLE NDIEBENE. G. SALLE DE CLASSE
SAINT LOUIS,NDIEBENE GANDIOLE,NDIEBENE GANDIOL,3,535.0,ECOLE NDIEBENE. G. SALLE DE CLASSE
SAINT LOUIS,NDIEBENE GANDIOLE,NDIEBENE GANDIOL,4,536.0,ECOLE NDIEBENE. G. SALLE DE CLASSE
SAINT LOUIS,NDIEBENE GANDIOLE,NDIEBENE GANDIOL,5,537.0,ECOLE NDIEBENE.G.CLASSE CM2
SAINT LOUIS,NDIEBENE GANDIOLE,PELOUR 1,1,438.0,ABRI PROVISOIRE
SAINT LOUIS,NDIEBENE GANDIOLE,RICOTT,1,501.0,CLASSE CI
SAINT LOUIS,NDIEBENE GANDIOLE,RICOTT,2,500.0,CLASSE CE1
SAINT LOUIS,NDIEBENE GANDIOLE,TASSINERE,1,417.0,CLASSE CM1
SAINT LOUIS,NDIEBENE GANDIOLE,TASSINERE,2,419.0,CLASSE CM2
SAINT LOUIS,NDIEBENE GANDIOLE,TASSINERE,3,418.0,CLASSE CE2
