DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BOUNKILING,FAOUNE,DIOKOUL,01,421,ECOLE DIOKOUL CLASSE CI
BOUNKILING,FAOUNE,FAOUNE,01,394,CLASSE CP
BOUNKILING,FAOUNE,FAOUNE,02,395,CLASSE CE1
BOUNKILING,FAOUNE,FAOUNE,03,391,CLASSE CM1
BOUNKILING,FAOUNE,FASS NDIAYENE,01,302,ABRI PROVISOIRE
BOUNKILING,FAOUNE,MADINA BOCAR SY,01,298,CLASSE CE2
BOUNKILING,FAOUNE,MADINA BOCAR SY,02,299,CLASSE CM1
BOUNKILING,FAOUNE,MADINA DEMBA GANO,01,448,CP
BOUNKILING,FAOUNE,MADINA DEMBA GANO,02,138,CLASSE CP
BOUNKILING,FAOUNE,SARA ALPHA,01,216,ABRI PROVISOIRE
BOUNKILING,FAOUNE,SARE DEMBA THIOUNE,01,297,ECOLE SARE DEMBA THIOUNE CLASSE CI
BOUNKILING,FAOUNE,SARE PATHE DIALLO,01,365,ABRI PROVISOIRE
BOUNKILING,FAOUNE,SINTHIOU ALIMOU BARRY,01,211,ECOLE CLASSE CP
BOUNKILING,FAOUNE,SINTHIOU ALIMOU BARRY,02,211,ECOLE CLASSE CE1
BOUNKILING,FAOUNE,TOUBA MOURIDE,01,375,CLASSE CI
BOUNKILING,FAOUNE,TOUBA MOURIDE,02,373,CLASSE CP
BOUNKILING,FAOUNE,TOUBA MOURIDE,03,373,ECOLE TOUBA MOURIDE CLASSE CM2
