DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BOUNKILING,INOR,BARANDAMA,01,153,ECOLE CLASSE SALLE 1
BOUNKILING,INOR,BASSADA,01,135,CLASSE CI
BOUNKILING,INOR,BISSARI KANSOYE,01,267,CLASSE CI
BOUNKILING,INOR,DIOUROUR 1,01,137,ECOLE CLASSE CE1
BOUNKILING,INOR,DIOUROUR 2,01,102,ECOLE CLASSE SALLE 1
BOUNKILING,INOR,GADIALEL,01,291,CLASSE CI
BOUNKILING,INOR,INOR,01,479,CLASSE CI
BOUNKILING,INOR,INOR,02,476,CLASSE CM1
BOUNKILING,INOR,INOR,03,327,SALLE DE CLASSE
BOUNKILING,INOR,KANDIALON,01,351,ECOLE CLASSE CM1
BOUNKILING,INOR,KANDIALON,02,351,ECOLE CLASSE CM2
BOUNKILING,INOR,MAGNORA DIOLA,01,285,ABRI PROVISOIRE
BOUNKILING,INOR,MAYOR,01,437,CLASSE CM1
BOUNKILING,INOR,MEDINA LAMINE SALL,01,232,CLASSE CI
BOUNKILING,INOR,TASLIMA,01,266,ECOLE CLASSE SALLE 1
BOUNKILING,INOR,TOBOR,01,192,ECOLE CLASSE CI
BOUNKILING,INOR,VELINGARA FAMARA MANE,01,118,CLASSE CE1
