DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BOUNKILING,NDIAMALATHIEL,DATOR KOUTA,01,139,ABRI PROVISOIRE
BOUNKILING,NDIAMALATHIEL,ECOLE DE DATOR ALPHA MAMADI,01,214,SALLE DE CLASSE
BOUNKILING,NDIAMALATHIEL,ECOLE DE DATOR ALPHA MAMADI,02,213,SALLE DE CLASSE
BOUNKILING,NDIAMALATHIEL,ECOLE DE DATOR ALPHA MAMADI,03,213,SALLE DE CLASSE
BOUNKILING,NDIAMALATHIEL,ECOLE DE KOBOEL 2,01,377,SALLE DE CLASSE
BOUNKILING,NDIAMALATHIEL,ECOLE DE KOBOEL 2,02,378,SALLE DE CLASSE
BOUNKILING,NDIAMALATHIEL,ECOLE DE TOUBA FALL,01,268,SALLE DE CLASSE
BOUNKILING,NDIAMALATHIEL,ECOLE DE VELINGARA 3,01,385,SALLE DE CLASSE
BOUNKILING,NDIAMALATHIEL,ECOLE DE VELINGARA 3,02,384,SALLE DE CLASSE
BOUNKILING,NDIAMALATHIEL,KANICOUNDA,01,295,CLASSE CE1
BOUNKILING,NDIAMALATHIEL,NDIAMALATHIEL,01,525,CLASSE CM1
BOUNKILING,NDIAMALATHIEL,NDIAMALATHIEL,02,524,CLASSE CM2
BOUNKILING,NDIAMALATHIEL,SARE BITEYE,01,236,ABRI PROVISOIRE
BOUNKILING,NDIAMALATHIEL,SARE FODE,01,521,ECOLE CLASSE CP
BOUNKILING,NDIAMALATHIEL,SARE FODE,02,519,ECOLE CLASSE CE2
