DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDOMP,BAGHERE,BAGHERE,01,305,CLASSE CI
GOUDOMP,BAGHERE,BAGHERE,02,304,CLASSE CP
GOUDOMP,BAGHERE,BAKIDIOTO,01,471,CLASSE CI
GOUDOMP,BAGHERE,DIAMAYE,01,96,CLASSE CE2
GOUDOMP,BAGHERE,DIARIFA,01,155,CLASSE DE CM1
GOUDOMP,BAGHERE,FADIOUNGHAR,01,163,CLASSE CM2
GOUDOMP,BAGHERE,KAFOUL,01,257,CLASSE CI
GOUDOMP,BAGHERE,KANDIENOU SOUCOTOTO,01,403,ABRI PROVISOIRE
GOUDOMP,BAGHERE,KANDIENOU SOUCOUTOTO,01,151,CLASSE DE CM 2
GOUDOMP,BAGHERE,KANDIENOU SOUCOUTOTO,02,148,CLASSE DE CM2
GOUDOMP,BAGHERE,KENEWAL,01,434,ABRI PROVISOIRE
GOUDOMP,BAGHERE,LAMEL,01,221,CLASSE CI
GOUDOMP,BAGHERE,LAMEL,02,222,CLASSE CP2
GOUDOMP,BAGHERE,LAMEL,03,223,ABRI PROVISOIRE
GOUDOMP,BAGHERE,SANSANCOUTOTO,01,281,CLASSE CI
GOUDOMP,BAGHERE,SANSANCOUTOTO,02,281,ABRI PROVISOIRE
GOUDOMP,BAGHERE,SARE SAMBEL,01,156,CLASSE CM2
GOUDOMP,BAGHERE,SOLIKO,01,97,CLASSE CM2
GOUDOMP,BAGHERE,TALICOURTO,01,195,ABRI PROVISOIRE
GOUDOMP,BAGHERE,TALICOURTO,02,194,ABRI PROVISOIRE
