DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDOMP,DJIBANAR,BAFATA 1,1,565.0,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,DJIBANAR,BIRKAMA,1,512.0,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,DJIBANAR,BIRKAMA,2,512.0,ECOLE ELEMENTAIRE SALLE 2
GOUDOMP,DJIBANAR,BIRKAMA,3,513.0,ECOLE ELEMENTAIRE SALLE 3
GOUDOMP,DJIBANAR,DIATTACOUNDA 2,1,519.0,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,DJIBANAR,DJIBANAR,1,589.0,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,DJIBANAR,DJIBANAR,2,582.0,ECOLE ELEMENTAIRE SALLE 2
GOUDOMP,DJIBANAR,DJIBANAR,3,586.0,ECOLE ELEMENTAIRE SALLE 3
GOUDOMP,DJIBANAR,DJIBANAR,4,580.0,ECOLE ELEMENTAIRE SALLE 4
GOUDOMP,DJIBANAR,DJIBANAR,5,66.0,ECOLE ELEMENTAIRE CLASSE CM1 A
GOUDOMP,DJIBANAR,KLONIA,1,153.0,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,DJIBANAR,KOUNAYAN,1,567.0,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,DJIBANAR,KOUNAYAN,2,77.0,CLASSE CE1
