DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 1,1,573.0,CLASSE CIA
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 1,2,573.0,CLASSE CPA
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 1,3,572.0,CLASSE CPB
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 1,4,572.0,CLASSE CE1 B
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 1,5,573.0,CLASSE CE2 A
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 1,6,572.0,CLASSE CM1 A
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 1,7,572.0,CLASSE CM1 B
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 2,1,511.0,CLASSE CM2A
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 2,2,510.0,CLASSE CM2B
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 2,3,510.0,CLASSE CM1B
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 2,4,509.0,SALLE DE CLASSE
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 3,1,403.0,CLASSE CM1A
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 3,2,404.0,CLASSE CM1B
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 3,3,403.0,CLASSE CE1A
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 3,4,402.0,CLASSE CE1B
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE BINDABA 1,1,276.0,CLASSE CM1
