DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDOMP,KARANTABA,BAMBADIONG,1,513.0,CLASSE CM1
GOUDOMP,KARANTABA,DIARENG,1,414.0,CLASSE CE2
GOUDOMP,KARANTABA,DIARENG,2,416.0,CLASSE CM1
GOUDOMP,KARANTABA,DIARENG,3,415.0,CLASSE CE1
GOUDOMP,KARANTABA,DJIDINKY MANDINGUE,1,422.0,CLASSE CE2
GOUDOMP,KARANTABA,KARANTABA,1,577.0,CLASSE CI
GOUDOMP,KARANTABA,KARANTABA,2,577.0,CLASSE CE1
GOUDOMP,KARANTABA,KARANTABA,3,575.0,CLASSE CE2
GOUDOMP,KARANTABA,KARANTABA,4,574.0,CLASSE CM1
GOUDOMP,KARANTABA,KOUBONI,1,297.0,CLASSE CI
GOUDOMP,KARANTABA,MANCONONDING,1,159.0,ECOLE ELEMENTAIRE CE1
GOUDOMP,KARANTABA,SAMBOU,1,253.0,CLASSE CI
GOUDOMP,KARANTABA,SANDINIERI,1,458.0,CLASSE CI
GOUDOMP,KARANTABA,SANDINIERI,2,456.0,CLASSE CE1
