DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDOMP,KOLIBANTANG,BANTANDIANG,01,302,CLASSE CP
GOUDOMP,KOLIBANTANG,BANTANDIANG,02,301,CLASSE CM1
GOUDOMP,KOLIBANTANG,KATABINA,01,105,ECOLE ELEMENTAIRE CLASSE CE2
GOUDOMP,KOLIBANTANG,KERACOUNDA,01,280,CLASSE CI
GOUDOMP,KOLIBANTANG,KERACOUNDA,02,281,CLASSE CE1
GOUDOMP,KOLIBANTANG,KOKOUM PEULH,01,99,ABRI PROVISOIRE
GOUDOMP,KOLIBANTANG,KOLIBANTANG,01,267,CLASSE CI
GOUDOMP,KOLIBANTANG,KOLIBANTANG,02,265,CLASSE CP
GOUDOMP,KOLIBANTANG,MAKA,01,424,CLASSE CI
GOUDOMP,KOLIBANTANG,MEDINA DEMBA SOW,01,181,ECOLE ELEMENTAIRE CM2
GOUDOMP,KOLIBANTANG,MISSIRA BOURBON,01,186,CLASSE CI
GOUDOMP,KOLIBANTANG,MOBAYA,01,347,CLASSE CI
GOUDOMP,KOLIBANTANG,MOYAFARA,01,355,CLASSE CI
GOUDOMP,KOLIBANTANG,SARE HALAL,01,382,CLASSE CM2
GOUDOMP,KOLIBANTANG,SOBALI,01,278,CLASSE CI
