DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDOMP,MANGAROUNGOU SANTO,BEYLAN,1,256.0,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,MANGAROUNGOU SANTO,BINAKO,1,381.0,ECOLE ELEMENTAIRE SALLE1
GOUDOMP,MANGAROUNGOU SANTO,DJIDADJI MANDINGUE,1,434.0,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,MANGAROUNGOU SANTO,KARANTABA SOUCOUTOTO,1,306.0,SALLE ECOLE ELEMENTAIRE 1
GOUDOMP,MANGAROUNGOU SANTO,KIGNINE,1,296.0,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,MANGAROUNGOU SANTO,KOUGNARA DOUMA,1,362.0,SALLE ECOLE ELEMENTAIRE 1
GOUDOMP,MANGAROUNGOU SANTO,KOUGNARA DOUMA,2,360.0,ECOLE  ELEMENTAIRE  SALLE 2
GOUDOMP,MANGAROUNGOU SANTO,MANGAROUNGOU DOUMA,1,357.0,ECOLE ELEM MANGAROUNGOU 2 SALLE 1
GOUDOMP,MANGAROUNGOU SANTO,MANGAROUNGOU SANTO,1,278.0,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,MANGAROUNGOU SANTO,MANGAROUNGOU SANTO,2,279.0,ECOLE ELEMENTAIRE SALLE 2
GOUDOMP,MANGAROUNGOU SANTO,MISSIRA MANGAROUNGOU,1,387.0,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,MANGAROUNGOU SANTO,SAMBELCOUNDA DJIRBAN,1,266.0,ECOLE ELEMENTAIRE CLASSE CE2
GOUDOMP,MANGAROUNGOU SANTO,SEGAFOULA,1,263.0,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,MANGAROUNGOU SANTO,SOUMACOUNDA,1,341.0,ECOLE ELEMENTAIRE SALLE 1
