DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDOMP,NIAGHA,BAMBADALLA BA,1,265.0,ABRI PROVISOIRE
GOUDOMP,NIAGHA,BAMBADALLA BA,2,263.0,ABRI PROVISOIRE
GOUDOMP,NIAGHA,BANTANGNEL,1,347.0,CLASSE CI
GOUDOMP,NIAGHA,BANTANGNEL,2,348.0,CLASSE CE2
GOUDOMP,NIAGHA,HINAKO,1,497.0,CLASSE CI
GOUDOMP,NIAGHA,KITIME,1,292.0,CLASSE CI
GOUDOMP,NIAGHA,KITIME,2,291.0,CLASSE CE1
GOUDOMP,NIAGHA,MALIFARA,1,210.0,CLASSE CM2
GOUDOMP,NIAGHA,NIAGHA,1,515.0,CLASSE CI
GOUDOMP,NIAGHA,NIAGHA,2,517.0,CLASSE CE1
GOUDOMP,NIAGHA,SARE KOUNDIAN,1,236.0,ABRI PROVISOIRE
GOUDOMP,NIAGHA,SARE META,1,360.0,CLASSE CI
GOUDOMP,NIAGHA,SARE NIAKO,1,470.0,CLASSE CI
GOUDOMP,NIAGHA,SARE SARA BOUYA,1,137.0,ABRI PROVISOIRE
GOUDOMP,NIAGHA,SARE TENING,1,535.0,CLASSE CM2
