DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDOMP,YARANG BALANTE,BAMBATO,1,248.0,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,BILASSAR BALANTE,1,377.0,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,FARADIANTO MANDINGUE,1,433.0,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,FASSADA,1,345.0,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,FASSANE,1,377.0,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,KANICO,1,229.0,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,KOUGNE MANDINGUE,1,331.0,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,LIMANE,1,406.0,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,SANOU SENEGAL,1,341.0,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,SATHIOUM,1,376.0,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,SINA,1,337.0,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,SINDIMA MANDINGUE,1,547.0,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,THIANAFF,1,310.0,ECOLE ELEMENTAIRE SALLE 2
GOUDOMP,YARANG BALANTE,YARANG BALANTE,1,546.0,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,YARANG BALANTE,2,547.0,ECOLE  ELEMENTAIRE SALLE 2
