DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SEDHIOU,BAMBALI,BADIARI,1,232.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,BAMBALI,BADIARI,2,232.0,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,BAMBALI,BAMBALI,1,534.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,BAMBALI,BAMBALI,2,520.0,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,BAMBALI,BAMBALI,3,315.0,ECOLE ELEMENTAIRE SALLE 3
SEDHIOU,BAMBALI,BOUDHIEMAR MANDINGUE,1,428.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,BAMBALI,BOUDHIE SAMINE,1,352.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,BAMBALI,BOUDHIE SAMINE,2,350.0,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,BAMBALI,BOUNO,1,346.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,BAMBALI,BOUNO,2,344.0,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,BAMBALI,FRANCOUNDA,1,422.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,BAMBALI,KAPOL,1,392.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,BAMBALI,KARANTABA NANI,1,342.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,BAMBALI,MALIFARA,1,198.0,ECOLE ELEMENTAIRE
SEDHIOU,BAMBALI,MARONCOUNDA,1,238.0,ECOLE ELEMENTAIRE
SEDHIOU,BAMBALI,MISSIRA KARANTABA NANI,1,282.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,BAMBALI,NGINDIR,1,339.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,BAMBALI,NGINDIR,2,339.0,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,BAMBALI,SORANGE,1,376.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,BAMBALI,TAMBANABA,1,312.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,BAMBALI,TENDABA KINDAKAM,1,411.0,ECOLE ELEMENTAIRE SALLE 1
