DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SEDHIOU,BEMET BIDJINI,BEME BIDJINI,01,335,ECOLE PRIMAIRE CLASSE CE 2
SEDHIOU,BEMET BIDJINI,BEME BIDJINI,02,333,ECOLE PRIMAIRE CLASSE CI A
SEDHIOU,BEMET BIDJINI,BEME BIDJINI,03,334,ECOLE PRIMAIRE CM2
SEDHIOU,BEMET BIDJINI,BEME DIATTACOUNDA,01,177,ECOLE ELEMENTAIRE SALLE DE CLASSE
SEDHIOU,BEMET BIDJINI,BEMET DJIMANDE,01,162,ABRI PROVISOIRE
SEDHIOU,BEMET BIDJINI,DIAFAR DOUMA,01,305,ECOLE PRIMAIRE CLASSE CM 1
SEDHIOU,BEMET BIDJINI,DIAFAR DOUMA,02,305,ECOLE PRIMAIRE CLASSE CM 2
SEDHIOU,BEMET BIDJINI,DIAFAR SANTO,01,244,ECOLE PRIMAIRE CLASSE CE 1
SEDHIOU,BEMET BIDJINI,DIAFAR SANTO,02,245,ECOLE PRIMAIRE CLASSE CM 2
SEDHIOU,BEMET BIDJINI,DIAO BA,01,179,ECOLE PRIMAIRE CLASSE CM 2
SEDHIOU,BEMET BIDJINI,DIAO BA,02,179,ECOLE PRIMAIRE CLASSE CM 1
SEDHIOU,BEMET BIDJINI,DIAO SIMACOUNDA,01,277,ECOLE PRIMAIRE CLASSE C M 1
SEDHIOU,BEMET BIDJINI,DIAO SIMACOUNDA,02,276,ECOLE PRIMAIRE CLASSE C E 2
SEDHIOU,BEMET BIDJINI,DIAO SOUCOUTOTO,01,221,ABRI PROVISOIRE
SEDHIOU,BEMET BIDJINI,FRANCOUNDA DIOLA,01,259,ECOLE PRIMAIRE CLASSE CM 2
SEDHIOU,BEMET BIDJINI,FRANCOUNDA SARAKOLE,01,235,ECOLE PRIMAIRE CLASSE CE 1
SEDHIOU,BEMET BIDJINI,FRANCOUNDA SARAKOLE,02,235,ECOLE PRIMAIRE CLASSE CM 2
SEDHIOU,BEMET BIDJINI,SIBICOUROTO 2,01,248,ECOLE PRIMAIRE CLASSE CE 2
SEDHIOU,BEMET BIDJINI,SIBICOUROTO 2,02,248,ECOLE PRIMAIRE CLASSE CM 1
