DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SEDHIOU,DIENDE,AYNOUSSALAM,1,100.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DIENDE,BAKOUM MANDINGUE,1,137.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DIENDE,BAKOUM MANDINGUE,2,140.0,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,DIENDE,BISSARY,1,283.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DIENDE,BOUSSOURA,1,136.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DIENDE,DIATOUMA MANDINGUE,1,339.0,ECOME ELELENTAIRE SALLE 1
SEDHIOU,DIENDE,DIENDE,1,399.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DIENDE,DIENDE,2,400.0,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,DIENDE,DIENDE,3,399.0,ECOLE ELEMENTAIRE SALLE 3
SEDHIOU,DIENDE,ECOLE ELEMENTAIRE BADIANDIAN DIOLA,1,182.0,SALLE 1
SEDHIOU,DIENDE,IDA,1,167.0,ECOLE ELEMENTAIRE
SEDHIOU,DIENDE,KOUNAYAN MANCAGNE,1,259.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DIENDE,KOUNAYAN MANDINGUE,1,260.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DIENDE,MANDINA FINDIFETO,1,300.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DIENDE,SALIKEGNE,1,447.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DIENDE,SITABA,1,317.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DIENDE,TOURECOUNDA,1,208.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DIENDE,TOURECOUNDA,2,207.0,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,DIENDE,U.C.1. BLOC VILLAGE,1,443.0,ECOLE ELEMENTAIRE
SEDHIOU,DIENDE,U.C.1. BLOC VILLAGE,2,440.0,ECOLE ELEMENTAIRE SALLE 2
