DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SEDHIOU,KOUSSY,BABIRA,01,265,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,KOUSSY,BARI,01,247,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,KOUSSY,BASSAF,01,364,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,KOUSSY,HAMDANY,01,254,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,KOUSSY,KEUR HABIB,01,249,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,KOUSSY,KOUSSY,01,447,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,KOUSSY,KOUSSY,02,446,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,KOUSSY,KOUSSY,03,447,ECOLE ELEMENTAIRE SALLE 3
SEDHIOU,KOUSSY,NIMAYA U C 1,01,262,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,KOUSSY,NIMZAT,01,384,ABRI PROVISOIRE
SEDHIOU,KOUSSY,SANKOUYA,01,186,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,KOUSSY,SOUCOUTOTO,01,295,ECOLE ELEMENTAIRE SALLE 1
