DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SEDHIOU,SANSAMBA,BANTANGNIMA,1,311.0,ECOLE PRIMAIRE CLASSE CM 1
SEDHIOU,SANSAMBA,BROHONE,1,287.0,ECOLE PRIMAIRE CLASSE CM 1
SEDHIOU,SANSAMBA,DANDONE,1,212.0,ECOLE PRIMAIRE CLASSE CM 2
SEDHIOU,SANSAMBA,DIAFILON,1,273.0,ECOLE PRIMAIRE CLASSE CP
SEDHIOU,SANSAMBA,DIATTANDINCOUNDA,1,216.0,ECOLE PRIMARIE CLASSE CM 2
SEDHIOU,SANSAMBA,DIOGNERE,1,294.0,ECOLE PRIMAIRE CLASSE CM 1
SEDHIOU,SANSAMBA,DIOGNERE,2,293.0,ECOLE PRIMAIRE CLASSE CE 1
SEDHIOU,SANSAMBA,KAMBOUNDA,1,255.0,ECOLE PRIMAIRE CLASSE CE 2
SEDHIOU,SANSAMBA,KAMBOUNDA,2,253.0,ECOLE PRIMAIRE CLASSE CM 2
SEDHIOU,SANSAMBA,KAMOYA,1,294.0,ECOLE PRIMAIRE CLASSE CM 1
SEDHIOU,SANSAMBA,KAMOYA,2,291.0,ECOLE PRIMAIRE CLASSE CM 2
SEDHIOU,SANSAMBA,KOOLING,1,173.0,ECOLE PRIMAIRE CLASSE CM 1
SEDHIOU,SANSAMBA,NEMA DIAOUR,1,155.0,ABRI PROVISOIRE
SEDHIOU,SANSAMBA,NIASSENE DIOLA,1,278.0,ECOLE PRIMAIRE CLASSE CM 1
SEDHIOU,SANSAMBA,NIASSENE DIOLA,2,276.0,ECOALE PRIMAIRE CLASSE CM 2
SEDHIOU,SANSAMBA,NIASSENE MANDINGUE,1,408.0,ECOLE PRIMAIRE CLASSE CE 1
SEDHIOU,SANSAMBA,SAMACOUNG 1,1,330.0,ECOLE PRIMAIRE CLASSE CP
SEDHIOU,SANSAMBA,SANSAMBA,1,381.0,ECOLE PRIMAIRE CLASSE CM 1
SEDHIOU,SANSAMBA,SANSAMBA,2,381.0,ECOLE PRIMAIRE CLASSE CM 2
SEDHIOU,SANSAMBA,SONKOCOUNDA,1,404.0,ECOLE PRIMAIRE CLASSE CP
SEDHIOU,SANSAMBA,TABALI,1,128.0,ABRI PROVISOIRE
SEDHIOU,SANSAMBA,YACINE MANDINA,1,232.0,ECOLE PRIMAIRE CLASSE CM 2
SEDHIOU,SANSAMBA,YACINE TAMBANA,1,219.0,ECOLE PRIMAIRE CLASSE CM 2
