DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BAKEL,BELE,ARIGABO,01,282,CLASSE
BAKEL,BELE,ARI HARA,01,221,CLASSE
BAKEL,BELE,BELE,01,512,CLASSE
BAKEL,BELE,BELE,02,244,CLASSE
BAKEL,BELE,DAHARATOU,01,503,CLASSE
BAKEL,BELE,DAHARATOU,02,504,SALLE DE CLASSE
BAKEL,BELE,DIALIGUEL,01,363,CLASSE
BAKEL,BELE,DIYABOUGOU MOSSI,01,97,ABRI PROVISOIRE
BAKEL,BELE,FETE GOLOMBI,01,82,CLASSE
BAKEL,BELE,GAMBIDIAOUBE,01,88,ABRI PPROVISOIRE
BAKEL,BELE,GOUREL BOULI,01,156,ABRI PROVISOIRE
BAKEL,BELE,GOUREL MAMADOU BARA,01,152,ABRI PROVISOIRE
BAKEL,BELE,GUIROBE,01,133,ABRI PROVISOIRE
BAKEL,BELE,GUITTA,01,316,CLASSE
BAKEL,BELE,NAYE,01,515,CLASSE
BAKEL,BELE,OUBAVOL,01,468,CLASSE
BAKEL,BELE,OURO HIMADOU,01,538,CLASSE
BAKEL,BELE,OURO SOULEY,01,179,CLASSE
BAKEL,BELE,SELING,01,274,CLASSE
BAKEL,BELE,SENO ISSAGA,01,135,ABRI PROVISOIRE
BAKEL,BELE,SENOUDEBOU,01,419,ABRI PROVISOIRE
BAKEL,BELE,SENOUDEBOU,02,419,ABRI PROVISOIRE
BAKEL,BELE,SENO YOUPE,01,209,CLASSE
BAKEL,BELE,SINTHIOU DIALIGUEL,01,469,CLASSE
BAKEL,BELE,SINTHIOU SEYDOU NDOULA,01,131,CLASSE
BAKEL,BELE,WALIDIALA,01,232,ABRI PROVISOIRE
