DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BAKEL,GABOU,ALAHINA BAMBARA,01,241,CLASSE CE1
BAKEL,GABOU,BEMA,01,413,CLASSE CP
BAKEL,GABOU,BORDE DIAWARA,01,257,CLASSE CE2
BAKEL,GABOU,DIABAL,01,474,CLASSE CE1
BAKEL,GABOU,GABOU,01,558,CLASSE CE 1
BAKEL,GABOU,GABOU,02,557,CM1A
BAKEL,GABOU,GABOU,03,557,CLASSE
BAKEL,GABOU,GABOU,04,210,CLASSE CM2
BAKEL,GABOU,GOUNIA,01,482,CLASSE CE1
BAKEL,GABOU,GOUREL MANDIOU,01,360,CLASSE CM2
BAKEL,GABOU,GUETHIE,01,192,ABRI  PROVISOIRE
BAKEL,GABOU,KADIEL SAMBOUBOU,01,382,CLASSE CP
BAKEL,GABOU,KAHE,01,387,CLASSE CE1
BAKEL,GABOU,MARSA,01,524,CLASSE CM1
BAKEL,GABOU,MARSA,02,524,CLASSE
BAKEL,GABOU,MAYEL FILI,01,92,ECOLE CLASSE CM2
BAKEL,GABOU,MISSIRA SAMBA YIDE,01,222,ABRI PROVISOIRE
BAKEL,GABOU,MISSIRA SAMBA YIDE,02,223,ABRI PROVISOIRE
BAKEL,GABOU,OLOLDOU,01,150,ABRI PROVISOIRE
BAKEL,GABOU,SAMBA KONTAYE,01,171,CLASSE CE 2
BAKEL,GABOU,SAMBA NIAME,01,380,ECOLE CLASSE CM 2
BAKEL,GABOU,SARE FADOUBE,01,223,CLASSE CP
BAKEL,GABOU,SINTHIOU MADINA,01,360,ABRI PROVISOIRE
BAKEL,GABOU,SINTHIOU SEYDOU DORO,01,357,ABRI PROVISOIRE
BAKEL,GABOU,SIRA DOUNDOU,01,164,CLASSE CM2
BAKEL,GABOU,SIRA MAMADOU BOCAR,01,338,CLASSE CE1
