DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BAKEL,SADATOU,DIAMBOURDALA,01,258,ABRI PROVISOIRE
BAKEL,SADATOU,DIYABOUGOU,01,170,CLASSE CE1
BAKEL,SADATOU,HEREMAKONO,01,107,CLASSE CE1
BAKEL,SADATOU,LAMINIA,01,240,CLASSE CE2
BAKEL,SADATOU,MANSAKODJI,01,218,CLASSE CE1
BAKEL,SADATOU,MOUSSALA,01,139,CLASSE CE1
BAKEL,SADATOU,SADATOU,01,469,CLASSE CE1
BAKEL,SADATOU,SADATOU,02,462,CLASSE CM1
BAKEL,SADATOU,SADATOU,03,388,CLASSE CE2
BAKEL,SADATOU,SANDINGCOUNDA,01,120,ABRI PROVISOIRE
BAKEL,SADATOU,SENOCAREDJI,01,156,SENOCAREDJI ABRI
BAKEL,SADATOU,SORETO,01,191,CLASSE CE1
