DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BAKEL,SINTHIOU FISSA,BABABE SENO DIARAL,1,133.0,ABRI PROVISOIRE
BAKEL,SINTHIOU FISSA,BANI PELLI,1,326.0,CLASSE
BAKEL,SINTHIOU FISSA,BELLI DJIMBARA,1,189.0,CLASSE
BAKEL,SINTHIOU FISSA,BOHE,1,85.0,ABRI PROVISOIRE
BAKEL,SINTHIOU FISSA,FANIRA,1,105.0,CLASSE
BAKEL,SINTHIOU FISSA,FIDJIBIDJI,1,132.0,CLASSE
BAKEL,SINTHIOU FISSA,GOUNDIOUROU,1,149.0,ABRI PROVISOIRE
BAKEL,SINTHIOU FISSA,KOUNDEL,1,136.0,ABRI PROVISOIRE
BAKEL,SINTHIOU FISSA,SAKHOCOUNDA,1,371.0,CLASSE
BAKEL,SINTHIOU FISSA,SAMBA KOLO,1,364.0,CLASSE
BAKEL,SINTHIOU FISSA,SEOUDJI,1,390.0,CLASSE
BAKEL,SINTHIOU FISSA,SINTHIOU FISSA,1,428.0,CLASSE
BAKEL,SINTHIOU FISSA,SINTHIOU SAMBA NDIARDE,1,217.0,CLASSE
BAKEL,SINTHIOU FISSA,TACOUTALA 1,1,223.0,CLASSE
BAKEL,SINTHIOU FISSA,YARIMALE,1,218.0,CLASSE
BAKEL,SINTHIOU FISSA,YOUPE HAMADI,1,294.0,CLASSE
BAKEL,SINTHIOU FISSA,YOUPE PATHE,1,242.0,CLASSE
