DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDIRY,BALA,BALA,1,507.0,CLASSE CM2
GOUDIRY,BALA,BALA,2,506.0,CLASSE CE1
GOUDIRY,BALA,BALA,3,452.0,CLASSE CP
GOUDIRY,BALA,DIOULANGUEL,1,205.0,CLASSE CP
GOUDIRY,BALA,GAYE PARADJI,1,104.0,CLASSE CI
GOUDIRY,BALA,KOUTHIAKASSE,1,550.0,CLASSE CI
GOUDIRY,BALA,KOUTHIAKASSE,2,93.0,CLASSE CP
GOUDIRY,BALA,LOUNTHIE,1,114.0,CLASSE CP
GOUDIRY,BALA,MBANGOL,1,86.0,ABRI PROVISOIRE
GOUDIRY,BALA,NDIOUM DEMBA GUILLE,1,163.0,ABRI PROVISOIRE
GOUDIRY,BALA,NDOMBOTO,1,154.0,ABRI PROVISOIRE
GOUDIRY,BALA,SINTHIOU BOCAR KOBOR,1,63.0,ABRI PROVISOIRE
GOUDIRY,BALA,THIARA,1,307.0,CLASSE CE 2
