DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDIRY,BOYNGUEL BAMBA,AINOUMADY,1,432.0,ECOLE SALLE DE CLASSE
GOUDIRY,BOYNGUEL BAMBA,ALAGUE,1,161.0,SALLE DE CLASSE
GOUDIRY,BOYNGUEL BAMBA,BAKANABE,1,269.0,ECOLE SALLE DE CLASSE
GOUDIRY,BOYNGUEL BAMBA,BANI TAPIRDE,1,77.0,ABRI PROVISOIRE
GOUDIRY,BOYNGUEL BAMBA,BODE,1,579.0,ECOLE SALLE DE CLASSE
GOUDIRY,BOYNGUEL BAMBA,BODE,2,47.0,ECOLE SALLE DE CLASSE
GOUDIRY,BOYNGUEL BAMBA,BOGAL,1,135.0,ECOLE SALLE DE CLASSE
GOUDIRY,BOYNGUEL BAMBA,BOYNGUEL BAMBA,1,585.0,CLASSE CM2
GOUDIRY,BOYNGUEL BAMBA,DINDOUDY DOKA,1,270.0,ABRI PROVISOIRE
GOUDIRY,BOYNGUEL BAMBA,FETE NIEBE,1,435.0,SALLE DE CLASSE
GOUDIRY,BOYNGUEL BAMBA,GOUMBO,1,214.0,ABRI PROVISOIRE
GOUDIRY,BOYNGUEL BAMBA,GUELODE,1,214.0,CLASSE CM1
GOUDIRY,BOYNGUEL BAMBA,KANEHAMBE,1,131.0,ABRI PROVISOIRE
GOUDIRY,BOYNGUEL BAMBA,KOUDY,1,337.0,CLASSE CM2
GOUDIRY,BOYNGUEL BAMBA,NANGANAME 2,1,185.0,ABRI PROVISOIRE
GOUDIRY,BOYNGUEL BAMBA,OURO DAOUDA,1,168.0,ABRI PROVISOIRE
GOUDIRY,BOYNGUEL BAMBA,SINTHIOU BOCAR SAMBA,1,111.0,ABRI PROVISOIRE
GOUDIRY,BOYNGUEL BAMBA,SINTHIOU BOUBOU,1,192.0,SALLE DE CLASSE
GOUDIRY,BOYNGUEL BAMBA,SINTHIOU DOUBE,1,76.0,ECOLE SALLE DE CLASSE
GOUDIRY,BOYNGUEL BAMBA,SINTHIOU FOULBES,1,125.0,ECOLE SALLE DE CLASSE
GOUDIRY,BOYNGUEL BAMBA,SINTHIOU MAMADOU CIRE,1,218.0,ECOLE SALLE DE CLASSE
GOUDIRY,BOYNGUEL BAMBA,TALIBADJI OUOLOF,1,95.0,ECOLE SALLE DE CLASSE
