DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDIRY,GOUDIRY,ECOLE GOUDIRY 1,01,359,CLASSE CM2 A
GOUDIRY,GOUDIRY,ECOLE GOUDIRY 1,02,343,CLASSE CM2 B
GOUDIRY,GOUDIRY,ECOLE GOUDIRY 1,03,347,CLASSE CE2 B
GOUDIRY,GOUDIRY,ECOLE GOUDIRY 1,04,366,CLASSE CM1 A
GOUDIRY,GOUDIRY,ECOLE GOUDIRY 1,05,292,CLASSE CP1 A
GOUDIRY,GOUDIRY,ECOLE GOUDIRY 1,06,104,SALLE DE CLASSE
GOUDIRY,GOUDIRY,ECOLE GOUDIRY 2,01,520,CLASSE CM2 A
GOUDIRY,GOUDIRY,ECOLE GOUDIRY 2,02,536,CLASSE CM2 B
GOUDIRY,GOUDIRY,ECOLE GOUDIRY 2,03,337,CLASSE CE2 A
GOUDIRY,GOUDIRY,ECOLE GOUDIRY 3,01,454,CM2
GOUDIRY,GOUDIRY,ECOLE GOUDIRY 3,02,454,CP
GOUDIRY,GOUDIRY,ECOLE GOUDIRY 3,03,453,CI
