DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDIRY,KOAR,DIALLOUBE,01,297,ABRI PROVISOIRE
GOUDIRY,KOAR,DIYABOUGOU SAKHO,01,249,CLASSE CE2
GOUDIRY,KOAR,INNALAH,01,227,CLASSE CE2
GOUDIRY,KOAR,KOAR,01,399,CLASSE CP
GOUDIRY,KOAR,KOAR,02,403,CLASSE CI
GOUDIRY,KOAR,MADINA OUOLOF,01,142,CLASSE CE2
GOUDIRY,KOAR,NAOUDE,01,149,CLASSE CE1
GOUDIRY,KOAR,NOUMOUYEL,01,372,CLASSE CE2
GOUDIRY,KOAR,SINTHIOU ABDOULAYE,01,114,CLASSE CP
GOUDIRY,KOAR,SINTHIOU NGUIDIVOL,01,321,CLASSE 2
GOUDIRY,KOAR,TABADING,01,564,CLASSE CM1
GOUDIRY,KOAR,TIVAOUANE,01,76,ABRI PROVISOIRE
