DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDIRY,SINTHIOU MAMADOU BOUBOU,BELE 2,1,149.0,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,BIROM DIGUI,1,127.0,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,BOKI GUILE,1,148.0,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,BOKI MABOUBE,1,58.0,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,BOULEL,1,185.0,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,CIVIYABE,1,206.0,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,DIARRE MABOUBE 1,1,223.0,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,DIARRE MBOLO,1,295.0,SALLE DE CLASSE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,DINDOUDY SEYDY,1,50.0,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,DOUBEL BAIDI,1,47.0,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,GALLOYABE,1,136.0,ECOLE SALLE DE CLASSE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,GOGHEDJI,1,122.0,SALLE DE CLASSE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,GUEVOL DIAVAMBE,1,137.0,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,LEVA DIOLFOUBE,1,253.0,ECOLE SALLE DE CLASSE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,LEVA HAMAT,1,233.0,SALLE DE CLASSE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,MAYEL WAMBABE,1,78.0,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,MBAGNOU,1,225.0,SALLE DE CLASSE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,MBAYLADJI,1,277.0,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,NDIAKONE,1,202.0,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,NDIYA,1,192.0,MAISON FAMILIALE RURALE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,NGARI ALI,1,135.0,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,SINTHIOU MAMADOU BOUBOU,1,549.0,SALLE DE CLASSE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,SINTHIOU OUMAR LILE,1,273.0,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,SOVOL,1,85.0,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,THIASKI,1,202.0,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,TOULDEKEDE,1,163.0,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,WOURO SINGHA,1,105.0,ABRI PROVISOIRE
