DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOUMPENTOUM,KAHENE,BOUB,01,139,ABRI PROVISOIRE
KOUMPENTOUM,KAHENE,BOURACOUNDA,01,204,CLASSE CP
KOUMPENTOUM,KAHENE,KABA,01,466,CLASSE CI
KOUMPENTOUM,KAHENE,KABA,02,466,CLASSE CE2
KOUMPENTOUM,KAHENE,KAHENE,01,402,CLASSE CI
KOUMPENTOUM,KAHENE,KAHENE,02,402,CLASSE CE1
KOUMPENTOUM,KAHENE,KANOUMA,01,230,CLASSE CE2
KOUMPENTOUM,KAHENE,KANTA,01,549,CLASSE CM1
KOUMPENTOUM,KAHENE,KANTA,02,66,CLASSE CE1
KOUMPENTOUM,KAHENE,KAWSARA 14,01,193,CLASSE CE 2
KOUMPENTOUM,KAHENE,MEDINA KANENE MALICK,01,289,ABRI PROVISOIRE
KOUMPENTOUM,KAHENE,MEDINA THIEKENE,01,209,ABRI PROVISOIRE
KOUMPENTOUM,KAHENE,MISSIRAH THIARENE,01,428,CLASSE CE1
KOUMPENTOUM,KAHENE,NDIOBENE 1,01,125,ABRI PROVISOIRE
KOUMPENTOUM,KAHENE,NGOUNTA TOUCOULEUR,01,275,CLASSE CI
KOUMPENTOUM,KAHENE,NGUEYENE,01,270,CLASSE CE1
KOUMPENTOUM,KAHENE,SINTHIOU TABANANI,01,258,CLASSE CP
KOUMPENTOUM,KAHENE,TIVAOUANE NIANI,01,229,CLASSE CP
