DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOUMPENTOUM,KOUMPENTOUM,ECOLE DIALY MORY DANSOKHO,1,581.0,CLASSE CM2 B
KOUMPENTOUM,KOUMPENTOUM,ECOLE DIALY MORY DANSOKHO,2,571.0,CLASSE CM1A
KOUMPENTOUM,KOUMPENTOUM,ECOLE DIALY MORY DANSOKHO,3,574.0,CLASSE CE2 A
KOUMPENTOUM,KOUMPENTOUM,ECOLE DIALY MORY DANSOKHO,4,123.0,CLASSE CM1 B
KOUMPENTOUM,KOUMPENTOUM,ECOLE THIERNO SAKHO,1,583.0,CLASSE CIA
KOUMPENTOUM,KOUMPENTOUM,ECOLE THIERNO SAKHO,2,580.0,CLASSE CIB
KOUMPENTOUM,KOUMPENTOUM,ECOLE THIERNO SAKHO,3,582.0,SALLE DE REUNION
KOUMPENTOUM,KOUMPENTOUM,ECOLE THIERNO SAKHO,4,583.0,CLASSE CM1B
KOUMPENTOUM,KOUMPENTOUM,ECOLE THIERNO SAKHO,5,581.0,CLASSE CM2 B
KOUMPENTOUM,KOUMPENTOUM,LYCEE ELHADJ BOUNA SEMOU NIANG,1,517.0,SALLE 12
KOUMPENTOUM,KOUMPENTOUM,LYCEE ELHADJ BOUNA SEMOU NIANG,2,515.0,SALLE 18
KOUMPENTOUM,KOUMPENTOUM,LYCEE ELHADJ BOUNA SEMOU NIANG,3,517.0,SALLE 36
