DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOUMPENTOUM,KOUTHIABA WOLOF,BALL OUOLOF,1,519.0,ABRI PROVISOIRE
KOUMPENTOUM,KOUTHIABA WOLOF,BANTANGHEL OUOLOF,1,275.0,ABRI PROVISOIRE
KOUMPENTOUM,KOUTHIABA WOLOF,BOYNGUEL DADI,1,322.0,ABRI PROVISOIRE
KOUMPENTOUM,KOUTHIABA WOLOF,DAROU KHADIM,1,79.0,ABRI PROVISOIRE
KOUMPENTOUM,KOUTHIABA WOLOF,DAROU NDIAYENE,1,460.0,CLASSE CM 2
KOUMPENTOUM,KOUTHIABA WOLOF,DIAMEGUENE,1,124.0,ABRI PROVISOIRE
KOUMPENTOUM,KOUTHIABA WOLOF,FASS THIEKENE,1,229.0,ABRI PROVISOIRE
KOUMPENTOUM,KOUTHIABA WOLOF,GAVANE,1,224.0,CLASSE CM 2
KOUMPENTOUM,KOUTHIABA WOLOF,KEUR NDONGO,1,229.0,CLASSE CM2
KOUMPENTOUM,KOUTHIABA WOLOF,KOUKOUYEL PEULH,1,185.0,ABRI PROVISOIRE
KOUMPENTOUM,KOUTHIABA WOLOF,KOUTHIABA OUOLOF,1,506.0,CLASSE CM2
KOUMPENTOUM,KOUTHIABA WOLOF,KOUTHIABA OUOLOF,2,506.0,CLASSE CE2
KOUMPENTOUM,KOUTHIABA WOLOF,KOUTHIABA PEULH,1,460.0,ABRI PROVISOIRE
KOUMPENTOUM,KOUTHIABA WOLOF,MALEMBA,1,520.0,CLASSE CE2
KOUMPENTOUM,KOUTHIABA WOLOF,MISSIRAH MOURIDE,1,275.0,ABRI PROVISOIRE
KOUMPENTOUM,KOUTHIABA WOLOF,NGATHIE OUOLOF,1,112.0,ABRI PROVISOIRE
KOUMPENTOUM,KOUTHIABA WOLOF,NGAYENE,1,219.0,CLASSE CM1
KOUMPENTOUM,KOUTHIABA WOLOF,PALANGHE HAMADI,1,435.0,ABRI PROVISOIRE
KOUMPENTOUM,KOUTHIABA WOLOF,PANAL,1,191.0,CLASSE CM2
KOUMPENTOUM,KOUTHIABA WOLOF,SARE BOYLI,1,244.0,CLASSE CE1
KOUMPENTOUM,KOUTHIABA WOLOF,SINTHIOU SYLLA KA,1,128.0,CLASSE CP
KOUMPENTOUM,KOUTHIABA WOLOF,SINTHIOU THIAKHATHIE,1,259.0,CLASSE CP
KOUMPENTOUM,KOUTHIABA WOLOF,SYLL PEULH,1,90.0,CLASSE CP
KOUMPENTOUM,KOUTHIABA WOLOF,SYLL SERIGNE MALICK,1,458.0,ABRI PROVISOIRE
KOUMPENTOUM,KOUTHIABA WOLOF,SYLL THIAKHENE,1,197.0,ABRI PROVISOIRE
KOUMPENTOUM,KOUTHIABA WOLOF,TAIBA NDOMENE,1,132.0,ABRI PROVISOIRE
