DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOUMPENTOUM,MERETO,DAROU FALL,1,313.0,CLASSE CM2
KOUMPENTOUM,MERETO,DIAGLE SINE,1,470.0,CLASSE CM2
KOUMPENTOUM,MERETO,FOULACOLONG,1,299.0,CLASSE CE2
KOUMPENTOUM,MERETO,GALLE,1,377.0,CLASSE CE2
KOUMPENTOUM,MERETO,KEUR DAOUDA,1,449.0,CLASSE CM2
KOUMPENTOUM,MERETO,KOUMARE,1,406.0,CLASSE CM1
KOUMPENTOUM,MERETO,KOUNDIAO SOUARE,1,303.0,ABRI PROVISOIRE
KOUMPENTOUM,MERETO,MERETO,1,560.0,CLASSE CM1
KOUMPENTOUM,MERETO,MERETO,2,564.0,CLASSE CM2
KOUMPENTOUM,MERETO,MERETO,3,425.0,CLASSE CI B
KOUMPENTOUM,MERETO,MERETO,4,252.0,CLASSE CE1 A
KOUMPENTOUM,MERETO,NDIAMBOUR,1,265.0,CLASSE CM2
KOUMPENTOUM,MERETO,TOUBA SINE,1,247.0,CLASSE CM2
