DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOUMPENTOUM,NDAM,BOUSSOURA,1,164.0,ABRI PROVISOIRE
KOUMPENTOUM,NDAM,DAROU NDIMBELANE,1,264.0,CLASSE CM2
KOUMPENTOUM,NDAM,DAROU SALAM 2,1,474.0,CLASSE CE2
KOUMPENTOUM,NDAM,DAROU SALAM THIEKENE,1,130.0,ABRI PROVISOIRE
KOUMPENTOUM,NDAM,DIOKOUL,1,380.0,CLASSE CM2
KOUMPENTOUM,NDAM,FASS GOUNASS,1,504.0,ABRI PROVISOIRE
KOUMPENTOUM,NDAM,FASS GOUNASS,2,503.0,ABRI PROVISOIRE
KOUMPENTOUM,NDAM,FASS GOUNASS,3,505.0,ABRI PROVISOIRE
KOUMPENTOUM,NDAM,GOUNDIOUR,1,153.0,CLASSE CM1
KOUMPENTOUM,NDAM,MEDINA BAMBARA,1,201.0,ABRI PROVISOIRE
KOUMPENTOUM,NDAM,MEDINA NDIOBENE,1,125.0,CLASSE CI
KOUMPENTOUM,NDAM,NDAME,1,167.0,ABRI PROVISOIRE
KOUMPENTOUM,NDAM,NDOUMANE MBAYE,1,158.0,ECOLE CLASSE CP1
KOUMPENTOUM,NDAM,NGUEYENE,1,99.0,ABRI PROVISOIRE
KOUMPENTOUM,NDAM,SINTHIOU DOKI,1,109.0,ABRI PROVISOIRE
KOUMPENTOUM,NDAM,SINTHIOU MBALBE,1,223.0,ABRI PROVISOIRE
KOUMPENTOUM,NDAM,TOUBA NIANI,1,110.0,CLASSE CI
KOUMPENTOUM,NDAM,TOUBA THIAMENE,1,155.0,CLASSE CM1
