DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOUMPENTOUM,PASS KOTO,BOULIMANGA PEULH 1,01,79,ABRI PROVISOIRE
KOUMPENTOUM,PASS KOTO,DIAGLE NDAWENE,01,134,CLASSE CE 2
KOUMPENTOUM,PASS KOTO,DIAMVELI,01,357,CLASSE CI
KOUMPENTOUM,PASS KOTO,FASS ALPHA,01,64,ABRI PROVISOIRE
KOUMPENTOUM,PASS KOTO,KOUSSALANG,01,87,CLASSE CI
KOUMPENTOUM,PASS KOTO,NDATOU DIABA,01,90,ABRI PROVISOIRE
KOUMPENTOUM,PASS KOTO,NDOUNGOUSSINE,01,278,CLASSE CE 1
KOUMPENTOUM,PASS KOTO,NGANTHILANE DIADIE,01,175,CLASSE CP
KOUMPENTOUM,PASS KOTO,NGUINOKH,01,132,CLASSE CM 1
KOUMPENTOUM,PASS KOTO,PASS KOTO,01,511,CLASSE CE 1
KOUMPENTOUM,PASS KOTO,PASS KOTO,02,92,CLASSE CM2
KOUMPENTOUM,PASS KOTO,PATOULANE OUOLOF,01,435,CLASSE CM 2
KOUMPENTOUM,PASS KOTO,SINTHIOU FODE,01,161,CLASSE CI
KOUMPENTOUM,PASS KOTO,SINTHIOU KALDING,01,175,CLASSE CM 2
KOUMPENTOUM,PASS KOTO,SINTHIOU KOBOTO,01,526,CLASSE CM 2
KOUMPENTOUM,PASS KOTO,SINTHIOU MAKA KOTO,01,244,ABRI PROVISOIRE
KOUMPENTOUM,PASS KOTO,SINTHIOU NDIENE,01,496,CLASSE CM 2
KOUMPENTOUM,PASS KOTO,SINTHIOU PAGNATE,01,221,CLASSE CI
KOUMPENTOUM,PASS KOTO,TAIBATOU,01,84,ABRI PROVISOIRE
KOUMPENTOUM,PASS KOTO,VELINGARA KOTO,01,285,CLASSE CM 1
