REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TAMBACOUNDA,BAKEL,BAKEL,ECOLE 3,1,523.0,CLASSE CE1B
TAMBACOUNDA,BAKEL,BAKEL,ECOLE 3,2,524.0,CLASSE CM2B
TAMBACOUNDA,BAKEL,BAKEL,ECOLE 3,3,523.0,CLASSE CI B
TAMBACOUNDA,BAKEL,BAKEL,ECOLE AMADOU WARANKA NDIAYE,1,522.0,CLASSE CE1B
TAMBACOUNDA,BAKEL,BAKEL,ECOLE AMADOU WARANKA NDIAYE,2,525.0,CLASSE CM1B
TAMBACOUNDA,BAKEL,BAKEL,ECOLE AMADOU WARANKA NDIAYE,3,524.0,CLASSE CE2 A
TAMBACOUNDA,BAKEL,BAKEL,ECOLE AMADOU WARANKA NDIAYE,4,523.0,CLASSE CE1 A
TAMBACOUNDA,BAKEL,BAKEL,ECOLE IBRAHIMA MALAL DIAMAN BATHILY,1,581.0,CLASSE CP A
TAMBACOUNDA,BAKEL,BAKEL,ECOLE IBRAHIMA MALAL DIAMAN BATHILY,2,580.0,CLASSE CM2 A
TAMBACOUNDA,BAKEL,BAKEL,ECOLE IBRAHIMA MALAL DIAMAN BATHILY,3,581.0,CLASSE CM2 B
TAMBACOUNDA,BAKEL,BAKEL,MAIRIE,1,541.0,SALLE DELIBERATIONS
TAMBACOUNDA,BAKEL,BAKEL,MAIRIE,2,540.0,BUREAU SECRETARIAT
TAMBACOUNDA,BAKEL,BAKEL,MAIRIE,3,539.0,SALLE 1 SALLE DES FETES MAIRIE
TAMBACOUNDA,BAKEL,BAKEL,MAIRIE,4,539.0,SALLE 2 SALLE DES FETES MAIRIE
TAMBACOUNDA,BAKEL,BAKEL,MAIRIE,5,537.0,BUREAU SALLE DES FETES MAIRIE
TAMBACOUNDA,BAKEL,BAKEL,THEATRE DE VERDURE,1,559.0,ECOLE FANDALE SALLE DE CLASSE
TAMBACOUNDA,BAKEL,BAKEL,THEATRE DE VERDURE,2,483.0,ECOLE FANDALE CLASSE CE1
TAMBACOUNDA,BAKEL,BAKEL,THEATRE DE VERDURE,3,480.0,ECOLE FANDALE CLASSE CM2
TAMBACOUNDA,BAKEL,BALLOU,AROUNDOU,1,555.0,CLASSE CP
TAMBACOUNDA,BAKEL,BALLOU,AROUNDOU,2,552.0,CLASSE CE2
TAMBACOUNDA,BAKEL,BALLOU,AROUNDOU,3,272.0,CLASSE CE2 A
TAMBACOUNDA,BAKEL,BALLOU,BALLOU,1,558.0,CLASSE CP
TAMBACOUNDA,BAKEL,BALLOU,BALLOU,2,568.0,CLASSE CE2
TAMBACOUNDA,BAKEL,BALLOU,BALLOU,3,563.0,CLASSE CM2
TAMBACOUNDA,BAKEL,BALLOU,BALLOU,4,393.0,CLASSE CM1
TAMBACOUNDA,BAKEL,BALLOU,DEBECOULE,1,257.0,CLASSE CM1
TAMBACOUNDA,BAKEL,BALLOU,DEDJI,1,374.0,CLASSE CE2
TAMBACOUNDA,BAKEL,BALLOU,DJIMBE,1,375.0,CLASSE CE2
TAMBACOUNDA,BAKEL,BALLOU,GOLMI,1,577.0,CLASSE CP
TAMBACOUNDA,BAKEL,BALLOU,GOLMI,2,576.0,CLASSE CE2
