DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TAMBACOUNDA,DIALOKOTO,BADI,01,283,SALLE CLASSE CI
TAMBACOUNDA,DIALOKOTO,BANTANCOUNTOU,01,161,CLASSE CP
TAMBACOUNDA,DIALOKOTO,DALABA,01,98,ABRI PROVISOIRE
TAMBACOUNDA,DIALOKOTO,DARSALAM FODE,01,135,SALLE CLASSE CI
TAMBACOUNDA,DIALOKOTO,DIALAKOTO,01,562,SALLE CLASSE CI
TAMBACOUNDA,DIALOKOTO,DIALAKOTO,02,563,SALLE CLASSE CE2
TAMBACOUNDA,DIALOKOTO,DIALAKOTO,03,561,SALLE CLASSE CM2
TAMBACOUNDA,DIALOKOTO,DIALAMAKHAN,01,222,SALLE CLASSE CI
TAMBACOUNDA,DIALOKOTO,DIENOUDIALA,01,334,SALLE CLASSE CP
TAMBACOUNDA,DIALOKOTO,GAMON,01,179,SALLE CLASSE CI
TAMBACOUNDA,DIALOKOTO,LABOYA,01,326,ABRI PROVISOIRE
TAMBACOUNDA,DIALOKOTO,MADINA COUTA,01,293,SALLE CLASSE CP
TAMBACOUNDA,DIALOKOTO,MADINA NIEMENIKE MALINKE,01,392,SALLE CLASSE CI
TAMBACOUNDA,DIALOKOTO,MADINA NIEMENIKE MALINKE,02,392,SALLE CLASSE CM2
TAMBACOUNDA,DIALOKOTO,MANSADALA,01,215,SALLE CLASSE C I
TAMBACOUNDA,DIALOKOTO,OUASSADOU DEPOT,01,589,SALLE CLASSE CI
TAMBACOUNDA,DIALOKOTO,TALIKORIN SANTANCOLY,01,97,SALLE CLASSE CI
