DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TAMBACOUNDA,KOUSSANAR,BOHE BALEDJIE,01,262,CLASSE CP
TAMBACOUNDA,KOUSSANAR,BOKILOTIE,01,82,ABRI PROVISOIRE
TAMBACOUNDA,KOUSSANAR,BOULEL,01,75,ABRI PROVISOIRE
TAMBACOUNDA,KOUSSANAR,C E M KOUSSANAR,01,550,SALLE DE CLASSE
TAMBACOUNDA,KOUSSANAR,C E M KOUSSANAR,02,547,SALLE DE CLASSE
TAMBACOUNDA,KOUSSANAR,DAWADY MEISSA PATHE,01,569,CLASSE CI
TAMBACOUNDA,KOUSSANAR,DAWADY MEISSA PATHE,02,222,SALLE DE CLASSE
TAMBACOUNDA,KOUSSANAR,DIAREL ASSANE,01,42,ABRI PROVISOIRE
TAMBACOUNDA,KOUSSANAR,ECOLE 2 KOUSSANAR,01,392,CLASSE CE2
TAMBACOUNDA,KOUSSANAR,ECOLE 2 KOUSSANAR,02,393,CLASSE CM2
TAMBACOUNDA,KOUSSANAR,ECOLE 4 KOUSSANAR ELEVAGE,01,504,CLASSE CP
TAMBACOUNDA,KOUSSANAR,ECOLE 4 KOUSSANAR ELEVAGE,02,503,SALLE DE CLASSE
TAMBACOUNDA,KOUSSANAR,ECOLE KOUMAN SANE,01,521,CLASSE CI
TAMBACOUNDA,KOUSSANAR,ECOLE KOUMAN SANE,02,522,CLASSE CE2B
TAMBACOUNDA,KOUSSANAR,ECOLE KOUMAN SANE,03,520,CLASSECPB
TAMBACOUNDA,KOUSSANAR,ECOLE MADINA TINGOLY,01,118,SALLE DE CLASSE
TAMBACOUNDA,KOUSSANAR,ECOLE MBOUL,01,132,SALLE DE CLASSE
TAMBACOUNDA,KOUSSANAR,ECOLE SINTHIOU DAVADY,01,112,SALLE DE CLASSE
TAMBACOUNDA,KOUSSANAR,ECOLE SINTHIOU PAGNATE,01,155,CLASSE CI
TAMBACOUNDA,KOUSSANAR,KALBIROM,01,271,CLASSE CE1
TAMBACOUNDA,KOUSSANAR,KOLOMBA,01,138,CLASSE CE1
TAMBACOUNDA,KOUSSANAR,KOUTHIA FARINDALA MANDINGUE,01,207,CLASSE CE2
TAMBACOUNDA,KOUSSANAR,KOUTHIAKOTO NDENE,01,163,CLASSE CP
TAMBACOUNDA,KOUSSANAR,MAGASIN CEREALIER KOUSSANAR,01,285,MAGASIN
TAMBACOUNDA,KOUSSANAR,NGALLA BAWDE,01,49,ABRI PROVISOIRE
TAMBACOUNDA,KOUSSANAR,PAGNATE DEMBA DJIBEL,01,191,ABRI PROVISOIRE
TAMBACOUNDA,KOUSSANAR,PAKIRANE,01,200,CLASSE CI
TAMBACOUNDA,KOUSSANAR,SAM,01,146,ABRI PROVISOIRE
TAMBACOUNDA,KOUSSANAR,SARE GOUBOU,01,124,ABRI PROVISOIRE
TAMBACOUNDA,KOUSSANAR,SARE NGAYE SAMBA,01,197,ABRI PROVISOIRE
TAMBACOUNDA,KOUSSANAR,SARE SAMBAROU,01,199,SALLE DE CLASSE
TAMBACOUNDA,KOUSSANAR,SINTHIOU BALA MALSINE,01,74,SALLE DE CLASSE
TAMBACOUNDA,KOUSSANAR,SINTHIOU COUMBIDIA,01,192,CLASSE CI
TAMBACOUNDA,KOUSSANAR,SINTHIOU DEMBA DORO,01,49,ABRI PROVISOIRE
TAMBACOUNDA,KOUSSANAR,SINTHIOU DOUBEL PARAWOL,01,40,ABRI PROVISOIRE
TAMBACOUNDA,KOUSSANAR,SINTHIOU HAMADI HAMATH,01,209,CLASSE CI
TAMBACOUNDA,KOUSSANAR,SINTHIOU HAMADOU OUALI,01,92,ABRI PROVISOIRE
TAMBACOUNDA,KOUSSANAR,SINTHIOU MABOUBE,01,62,ABRI PROVISOIRE
TAMBACOUNDA,KOUSSANAR,SINTHIOU PASS,01,164,CLASSE CP
TAMBACOUNDA,KOUSSANAR,SINTHIOU SAMBAROU,01,108,SALLE DE CLASSE
TAMBACOUNDA,KOUSSANAR,SINTHIOU SAMBAROU DEME,01,248,ABRI PROVISOIRE
TAMBACOUNDA,KOUSSANAR,SINTHIOU SILAMAKAN,01,144,ABRI PROVISOIRE
TAMBACOUNDA,KOUSSANAR,TOUBERE DIAOUBE,01,43,ABRI PROVISOIRE
TAMBACOUNDA,KOUSSANAR,VOURO SENO,01,166,CASE DE SANTE
