DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TAMBACOUNDA,MAKACOLIBANTANG,BARKAYEL,01,217,ABRI PROVISOIRE
TAMBACOUNDA,MAKACOLIBANTANG,BAROCOUNDA,01,266,CLASSE CI
TAMBACOUNDA,MAKACOLIBANTANG,BOULIMBOU,01,264,CLASSE CI
TAMBACOUNDA,MAKACOLIBANTANG,COLIBANTANG,01,513,CLASSE CI
TAMBACOUNDA,MAKACOLIBANTANG,COLIBANTANG,02,512,CLASSE CP
TAMBACOUNDA,MAKACOLIBANTANG,DEMBARING,01,159,ABRI PROVISOIRE
TAMBACOUNDA,MAKACOLIBANTANG,DIAMGOULOR,01,192,CLASSE CI
TAMBACOUNDA,MAKACOLIBANTANG,DIENDE,01,258,ABRI PROVISOIRE
TAMBACOUNDA,MAKACOLIBANTANG,DIYABOUGOU,01,204,CLASSE CP
TAMBACOUNDA,MAKACOLIBANTANG,FADIACOUNDA,01,413,CLASSE CP
TAMBACOUNDA,MAKACOLIBANTANG,MADINA SANDOU,01,180,CLASSE CI
TAMBACOUNDA,MAKACOLIBANTANG,MAKA,01,327,CLASSE CI
TAMBACOUNDA,MAKACOLIBANTANG,MAKA,02,326,CLASSE CE1
TAMBACOUNDA,MAKACOLIBANTANG,MAKA,03,326,CLASSE CM2
TAMBACOUNDA,MAKACOLIBANTANG,MAKA CISSE,01,158,CLASSE CI
TAMBACOUNDA,MAKACOLIBANTANG,MAKANDING,01,262,CLASSE CP
TAMBACOUNDA,MAKACOLIBANTANG,MAKA VILLAGE,01,569,CLASSE CM1
TAMBACOUNDA,MAKACOLIBANTANG,MAKA VILLAGE,02,390,CLASSE CP
TAMBACOUNDA,MAKACOLIBANTANG,MANIGUI KOLIKASSA,01,208,ABRI PROVISOIRE
TAMBACOUNDA,MAKACOLIBANTANG,MBOURO KALDING,01,82,CLASSE CE1
TAMBACOUNDA,MAKACOLIBANTANG,MISSIRAH SEYDOU,01,122,CLASSE CE1
TAMBACOUNDA,MAKACOLIBANTANG,PAKEBA,01,212,CLASSE CP
TAMBACOUNDA,MAKACOLIBANTANG,SAMBA NGUAYE,01,243,CLASSE CM1
TAMBACOUNDA,MAKACOLIBANTANG,SANACOUNDA,01,87,CLASSE CE1
TAMBACOUNDA,MAKACOLIBANTANG,SANDING KERING,01,153,CLASSE CP
TAMBACOUNDA,MAKACOLIBANTANG,SANDOUGOU MANA,01,194,CLASSE CE1
TAMBACOUNDA,MAKACOLIBANTANG,SANKABARI BAKARI,01,264,CLASSE CI
TAMBACOUNDA,MAKACOLIBANTANG,SAO SOUCOUTA,01,240,CLASSE CI
TAMBACOUNDA,MAKACOLIBANTANG,SAO SOUCOUTA,02,239,CLASSE CM1
TAMBACOUNDA,MAKACOLIBANTANG,SARE DIAME,01,173,CLASSE CP
TAMBACOUNDA,MAKACOLIBANTANG,SARE ELI,01,190,CLASSE CP
TAMBACOUNDA,MAKACOLIBANTANG,SARE ELI DIEDI,01,97,ABRI PROVISORE
TAMBACOUNDA,MAKACOLIBANTANG,SARE MALLA,01,108,ABRI PROVISOIRE
TAMBACOUNDA,MAKACOLIBANTANG,SINTHIOU BOURE BANNA NDAO,01,117,CLASSE CI
TAMBACOUNDA,MAKACOLIBANTANG,SINTHIOU KALDING,01,298,ABRI PROVISOIRE
TAMBACOUNDA,MAKACOLIBANTANG,SINTHIOU SAMBA SIRA,01,164,CLASSE CP
TAMBACOUNDA,MAKACOLIBANTANG,SINTHIOU SOUBACOUNDA,01,192,ABRI PROVISOIRE
TAMBACOUNDA,MAKACOLIBANTANG,SINTHIOU SOUNA DIALLO 1,01,200,ABRI PROVISOIRE
TAMBACOUNDA,MAKACOLIBANTANG,SITAKOUROU MANDINGUE,01,451,CLASSE CP
TAMBACOUNDA,MAKACOLIBANTANG,TABADIANG SOUNA,01,111,CLASSE CI
TAMBACOUNDA,MAKACOLIBANTANG,TABANDING OUOLOF,01,139,ABRI PROVISOIRE
TAMBACOUNDA,MAKACOLIBANTANG,THIARA OUMAR DIAO,01,69,CLASSE CP
TAMBACOUNDA,MAKACOLIBANTANG,WALIA SAMBA DEME,01,170,CLASSE CI
TAMBACOUNDA,MAKACOLIBANTANG,YORODONDE,01,280,CLASSE CP
