DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TAMBACOUNDA,MISSIRAH (TAMBA),BAMBADINKA,1,403.0,CLASSE CM2
TAMBACOUNDA,MISSIRAH (TAMBA),BIRA,1,372.0,SALLE CLASSE CP
TAMBACOUNDA,MISSIRAH (TAMBA),DIAMVELI 2,1,57.0,ABRI PROVISOIRE
TAMBACOUNDA,MISSIRAH (TAMBA),DIYABOUGOU,1,280.0,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),GOULOUMBOU,1,261.0,SALLE CLASSE C I
TAMBACOUNDA,MISSIRAH (TAMBA),GOULOUMBOU,2,261.0,SALLE DE CLASSE
TAMBACOUNDA,MISSIRAH (TAMBA),GUINGUINEO,1,229.0,ABRI PROVISOIRE
TAMBACOUNDA,MISSIRAH (TAMBA),HAFIA BASSARI TOUMBOUN PLACE PUBLIQ,1,137.0,ABRI PROVISOIRE
TAMBACOUNDA,MISSIRAH (TAMBA),HAMDALLAYE NDIAPALDE,1,355.0,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),HAMDALLAYE PONT,1,312.0,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),HAMDALLAYE TESSAN,1,312.0,SALL E CLASSE CP
TAMBACOUNDA,MISSIRAH (TAMBA),HAMDALLAYE TESSAN,2,313.0,SALLE CLASSE CE1
TAMBACOUNDA,MISSIRAH (TAMBA),KOUAR 2,1,510.0,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),LAREDJI,1,139.0,ABRI PROVISOIRE
TAMBACOUNDA,MISSIRAH (TAMBA),LOUGUE NIALBI,1,152.0,ABRI PROVISOIRE
TAMBACOUNDA,MISSIRAH (TAMBA),MADIALI,1,461.0,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),MADINA BOULACOUNDA,1,222.0,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),MADINA DIAKHA,1,441.0,ABRI PROVISOIRE
TAMBACOUNDA,MISSIRAH (TAMBA),MADINA DIAN,1,223.0,ABRI PROVISOIRE
TAMBACOUNDA,MISSIRAH (TAMBA),MADINA MAMADOU,1,117.0,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),MAHINA COURA,1,126.0,ABRI PROVISOIRE
TAMBACOUNDA,MISSIRAH (TAMBA),MISSIRAH,1,570.0,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),MISSIRAH,2,579.0,SALLE CLASSE CP
TAMBACOUNDA,MISSIRAH (TAMBA),MISSIRAH,3,576.0,SALLE CLASSE CE1
TAMBACOUNDA,MISSIRAH (TAMBA),MISSIRAH,4,568.0,SALLE CLASSE CM2
TAMBACOUNDA,MISSIRAH (TAMBA),MISSIRAH,5,573.0,SALLE CLASSE
TAMBACOUNDA,MISSIRAH (TAMBA),MISSIRAH,6,154.0,E. FADIAME SYLLA CLA PRESCOLAIRE
TAMBACOUNDA,MISSIRAH (TAMBA),MISSIRAH TABADIAN,1,248.0,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),MISSIRAH TOUNGOUNDE,1,220.0,ABRI PROVISOIRE
TAMBACOUNDA,MISSIRAH (TAMBA),MOUFOUTI,1,79.0,ABRI PROVISOIRE
TAMBACOUNDA,MISSIRAH (TAMBA),NGEEN,1,461.0,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),NIAOULE MBAYGOU,1,202.0,ABRI PROVISOIRE
TAMBACOUNDA,MISSIRAH (TAMBA),NIAOULE TANOU,1,457.0,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),SAAL,1,191.0,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),SABI MOULESSI,1,258.0,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),SANKAGNE 1,1,226.0,SALLE CLASSE CP
TAMBACOUNDA,MISSIRAH (TAMBA),SANKAGNE 1,2,229.0,SALLE DE CLASSE
TAMBACOUNDA,MISSIRAH (TAMBA),SARE PATHE FOUGOULOU,1,117.0,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),SARE THIDI,1,417.0,ABRI PROVISOIRE
TAMBACOUNDA,MISSIRAH (TAMBA),SOCOUNDA ADIAF,1,238.0,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),TABADIAN DIALIKO,1,210.0,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),TOUBA,1,506.0,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),VELINGARA BIDIANKOTO,1,579.0,SALLE CLASSE CP
TAMBACOUNDA,MISSIRAH (TAMBA),VELINGARA BIDIANKOTO,2,142.0,CE2
TAMBACOUNDA,MISSIRAH (TAMBA),VELINGARA LEGUEL,1,104.0,ABRI PROVISOIRE
