DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TAMBACOUNDA,NIANI TOUCOULEUR,BARSAFO,1,181.0,CLASSE CI
TAMBACOUNDA,NIANI TOUCOULEUR,CISSECOUNDA,1,438.0,CLASSE CE1
TAMBACOUNDA,NIANI TOUCOULEUR,DIAMAGUENE SINE,1,309.0,CLASSE CP
TAMBACOUNDA,NIANI TOUCOULEUR,DIANECOUNDA,1,29.0,ABRI PROVISOIRE
TAMBACOUNDA,NIANI TOUCOULEUR,DJIDA MOURIDE,1,328.0,CLASSE CE1
TAMBACOUNDA,NIANI TOUCOULEUR,FELANE SINE,1,213.0,CLASSE CE1
TAMBACOUNDA,NIANI TOUCOULEUR,HAMDALLAYE MALICK,1,204.0,ABRI PROVISOIRE
TAMBACOUNDA,NIANI TOUCOULEUR,KAHAO MOUSSA SY,1,153.0,CLASSE CE2
TAMBACOUNDA,NIANI TOUCOULEUR,KAHAO TABANE,1,288.0,CLASSE  CE1
TAMBACOUNDA,NIANI TOUCOULEUR,KALELA,1,129.0,ABRI PROVISOIRE
TAMBACOUNDA,NIANI TOUCOULEUR,KOUSSALANG,1,54.0,ABRI PROVISOIRE
TAMBACOUNDA,NIANI TOUCOULEUR,LAMA SAMBA,1,140.0,ABRI PROVISOIRE
TAMBACOUNDA,NIANI TOUCOULEUR,NDIAYENE,1,365.0,CLASSE CI
TAMBACOUNDA,NIANI TOUCOULEUR,SILLAME,1,307.0,CLASSE CI
TAMBACOUNDA,NIANI TOUCOULEUR,TOUBA BELEL,1,223.0,CLASSE CI
TAMBACOUNDA,NIANI TOUCOULEUR,TOUBA KAWSARA,1,171.0,CLASSE CP
TAMBACOUNDA,NIANI TOUCOULEUR,TOUBA TERRES NEUVES,1,216.0,CLASSE CP
