DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TAMBACOUNDA,SINTHIOU MALEME,BOTOU,01,415,ECOLE ( CLASSE CI )
TAMBACOUNDA,SINTHIOU MALEME,BOUCARICOUNDA DIALLO,01,114,ABRI PROVISOIRE
TAMBACOUNDA,SINTHIOU MALEME,BOUDOU BOUDOU,01,214,SALLE DE CLASSE
TAMBACOUNDA,SINTHIOU MALEME,CASE DE SANTE MADINA NIANA,01,364,CASE DE SANTE
TAMBACOUNDA,SINTHIOU MALEME,DIALAKORO 1,01,167,CLASSE CI
TAMBACOUNDA,SINTHIOU MALEME,DIOMBODINA MANDINGUE,01,99,CLASSE CI
TAMBACOUNDA,SINTHIOU MALEME,ECOLE 2 SINTHIOU MALEME,01,317,CLASSE CI
TAMBACOUNDA,SINTHIOU MALEME,ECOLE 2 SINTHIOU MALEME,02,317,CLASSE CM1
TAMBACOUNDA,SINTHIOU MALEME,ECOLE 3 SADIOBOULOU PEULH,01,106,SALLE DE CLASSE
TAMBACOUNDA,SINTHIOU MALEME,ECOLE 3 SINTHIOU MALEME GUINAW RAIL,01,506,CLASSE CI
TAMBACOUNDA,SINTHIOU MALEME,ECOLE MANSA KALY OUALY,01,525,CLASSE CE1
TAMBACOUNDA,SINTHIOU MALEME,ECOLE MANSA KALY OUALY,02,523,CLASSE CE2
TAMBACOUNDA,SINTHIOU MALEME,ECOLE MANSA KALY OUALY,03,525,SALLE DE CLASSE
TAMBACOUNDA,SINTHIOU MALEME,ECOLE PADAH PEULH,01,152,SALLE DE CLASSE
TAMBACOUNDA,SINTHIOU MALEME,ECOLE SARE OUSMANE,01,155,SALLE DE CLASSE
TAMBACOUNDA,SINTHIOU MALEME,GUIRIGARA,01,120,ABRI PROVISOIRE
TAMBACOUNDA,SINTHIOU MALEME,KOUTHIA,01,117,CLASSE CI
TAMBACOUNDA,SINTHIOU MALEME,LICOUNDA MANDINGUE,01,256,CLASSE CP
TAMBACOUNDA,SINTHIOU MALEME,MADINA DIAKHA,01,281,CLASSE CE1
TAMBACOUNDA,SINTHIOU MALEME,MADINA MABOUBE,01,171,CLASSE CP
TAMBACOUNDA,SINTHIOU MALEME,MADINA SARAKHOLE,01,227,CLASSE CP
TAMBACOUNDA,SINTHIOU MALEME,MARIBOUGOU,01,69,SALLE DE CLASSE
TAMBACOUNDA,SINTHIOU MALEME,MAYEL DIBI,01,83,CLASSE CI
TAMBACOUNDA,SINTHIOU MALEME,PONT IDAKOTO,01,107,SALLE DE CLASSE
TAMBACOUNDA,SINTHIOU MALEME,SAMECOUTA PEULH,01,196,CLASSE CI
TAMBACOUNDA,SINTHIOU MALEME,SARE FARING,01,180,CLASSE CP
TAMBACOUNDA,SINTHIOU MALEME,SINTHIOU DIALIGUE,01,137,CLASSE CI
TAMBACOUNDA,SINTHIOU MALEME,SINTHIOU FARING,01,149,ABRI PROVISOIRE
TAMBACOUNDA,SINTHIOU MALEME,SINTHIOU GAYO,01,264,CLASSE CM1
TAMBACOUNDA,SINTHIOU MALEME,SINTHIOU MAYEL,01,69,CLASSE CI
TAMBACOUNDA,SINTHIOU MALEME,SIRMANDIALA BOYE,01,278,CLASSE CI
TAMBACOUNDA,SINTHIOU MALEME,THIAVOR,01,93,CLASSE CI
TAMBACOUNDA,SINTHIOU MALEME,TOUBA FALL,01,324,CLASSE CI
TAMBACOUNDA,SINTHIOU MALEME,VELINGARA SABAKE,01,123,ABRI PROVISOIRE
