DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TAMBACOUNDA,TAMBACOUNDA,CEM QUINZAMBOUGOU,1,559.0,SALLE 2
TAMBACOUNDA,TAMBACOUNDA,CEM QUINZAMBOUGOU,2,559.0,SALLE 3
TAMBACOUNDA,TAMBACOUNDA,CEM QUINZAMBOUGOU,3,557.0,SALLE 4
TAMBACOUNDA,TAMBACOUNDA,ECOLE ABATTOIRS COMPLEMENTAIRE,1,489.0,CLASSE CP A
TAMBACOUNDA,TAMBACOUNDA,ECOLE ABATTOIRS COMPLEMENTAIRE,2,487.0,CLASSE CM2 B
TAMBACOUNDA,TAMBACOUNDA,ECOLE ABATTOIRS COMPLEMENTAIRE,3,490.0,CLASSE CE2A
TAMBACOUNDA,TAMBACOUNDA,ECOLE ADJA AIDA MBAYE,1,570.0,CLASSE CIA
TAMBACOUNDA,TAMBACOUNDA,ECOLE ADJA AIDA MBAYE,2,568.0,CLASSE CIB
TAMBACOUNDA,TAMBACOUNDA,ECOLE ADJA AIDA MBAYE,3,580.0,CLASSE CE1A
TAMBACOUNDA,TAMBACOUNDA,ECOLE ADJA AIDA MBAYE,4,569.0,CLASSE CE1B
TAMBACOUNDA,TAMBACOUNDA,ECOLE ADJA AIDA MBAYE,5,573.0,CLASSE CE2A
TAMBACOUNDA,TAMBACOUNDA,ECOLE ADJA AIDA MBAYE,6,567.0,CLASSE CM2A
TAMBACOUNDA,TAMBACOUNDA,ECOLE ADJA AIDA MBAYE,7,575.0,CLASSE CM2B
TAMBACOUNDA,TAMBACOUNDA,ECOLE ADJA AIDA MBAYE,8,269.0,SALLE DE CLASSE
TAMBACOUNDA,TAMBACOUNDA,ECOLE BOUNAMA DIALLO,1,591.0,CLASSE CPA
TAMBACOUNDA,TAMBACOUNDA,ECOLE BOUNAMA DIALLO,2,588.0,CLASSE CPB
TAMBACOUNDA,TAMBACOUNDA,ECOLE BOUNAMA DIALLO,3,591.0,CLASSE CE1A
TAMBACOUNDA,TAMBACOUNDA,ECOLE BOUNAMA DIALLO,4,591.0,CLASSE CE1B
TAMBACOUNDA,TAMBACOUNDA,ECOLE BOUNAMA DIALLO,5,589.0,CLASSE CE2A
TAMBACOUNDA,TAMBACOUNDA,ECOLE BOUNAMA DIALLO,6,589.0,CLASSE CE2B
TAMBACOUNDA,TAMBACOUNDA,ECOLE BOUNAMA DIALLO,7,590.0,CLASSE CM1A
TAMBACOUNDA,TAMBACOUNDA,ECOLE BOUNAMA DIALLO,8,590.0,CLASSE CM1B
TAMBACOUNDA,TAMBACOUNDA,ECOLE BOUNAMA DIALLO,9,588.0,CLASSE CM2A
TAMBACOUNDA,TAMBACOUNDA,ECOLE BOUNAMA DIALLO,10,589.0,CLASSE CM2B
TAMBACOUNDA,TAMBACOUNDA,ECOLE BOUNAMA DIALLO,11,586.0,CLASSE CIA
TAMBACOUNDA,TAMBACOUNDA,ECOLE BOUNAMA DIALLO,12,589.0,CLASSE CIB
TAMBACOUNDA,TAMBACOUNDA,ECOLE BOUNAMA DIALLO,13,592.0,SALLE DES MAITRES
TAMBACOUNDA,TAMBACOUNDA,ECOLE GOUREL DIADIE,1,591.0,CLASSE CIA
TAMBACOUNDA,TAMBACOUNDA,ECOLE GOUREL DIADIE,2,589.0,CLASSE CPA
TAMBACOUNDA,TAMBACOUNDA,ECOLE GOUREL DIADIE,3,592.0,CLASSE CM2A
TAMBACOUNDA,TAMBACOUNDA,ECOLE GOUREL DIADIE,4,590.0,CLASSE CM2B
TAMBACOUNDA,TAMBACOUNDA,ECOLE GOUREL DIADIE,5,592.0,CLASSE CM1 A
TAMBACOUNDA,TAMBACOUNDA,ECOLE GOUREL DIADIE,6,591.0,CLASSE CE2A
TAMBACOUNDA,TAMBACOUNDA,ECOLE GOUREL DIADIE,7,590.0,CLASSE CE2B
TAMBACOUNDA,TAMBACOUNDA,ECOLE GOUREL DIADIE,8,589.0,CLASSE CP B
TAMBACOUNDA,TAMBACOUNDA,ECOLE GOUYE,1,568.0,CLASSE CE1A
TAMBACOUNDA,TAMBACOUNDA,ECOLE GOUYE,2,574.0,CLASSE CE2A
TAMBACOUNDA,TAMBACOUNDA,ECOLE GOUYE,3,563.0,CLASSE CM2B
TAMBACOUNDA,TAMBACOUNDA,ECOLE GOUYE,4,577.0,CLASSE CIB
TAMBACOUNDA,TAMBACOUNDA,ECOLE GOUYE,5,141.0,CE1 A
TAMBACOUNDA,TAMBACOUNDA,ECOLE JEAN 23,1,569.0,CLASSE 6EME A
TAMBACOUNDA,TAMBACOUNDA,ECOLE JEAN 23,2,567.0,CLASSE 6EME B
TAMBACOUNDA,TAMBACOUNDA,ECOLE JEAN 23,3,568.0,CLASSE 5EME A
TAMBACOUNDA,TAMBACOUNDA,ECOLE JEAN 23,4,568.0,CLASSE 5EME B
TAMBACOUNDA,TAMBACOUNDA,ECOLE JEAN 23,5,567.0,CLASSE 4EME A
TAMBACOUNDA,TAMBACOUNDA,ECOLE JEAN 23,6,568.0,CLASSE 4EME B
TAMBACOUNDA,TAMBACOUNDA,ECOLE JEAN 23,7,568.0,CLASSE 4EME C
TAMBACOUNDA,TAMBACOUNDA,ECOLE JEAN 23,8,570.0,CLASSE 5EME C
TAMBACOUNDA,TAMBACOUNDA,ECOLE KANDERI BAMBARA,1,398.0,CLASSE CE1
TAMBACOUNDA,TAMBACOUNDA,ECOLE KOTHIARINDING,1,267.0,CLASSE CPA
TAMBACOUNDA,TAMBACOUNDA,ECOLE MAMADOU LAMINE DANFAKHA,1,589.0,CLASSE CPA
TAMBACOUNDA,TAMBACOUNDA,ECOLE MAMADOU LAMINE DANFAKHA,2,584.0,CLASSE CPB
TAMBACOUNDA,TAMBACOUNDA,ECOLE MAMADOU LAMINE DANFAKHA,3,587.0,CLASSE CE1A
TAMBACOUNDA,TAMBACOUNDA,ECOLE MAMADOU LAMINE DANFAKHA,4,587.0,CLASSE CE2A
TAMBACOUNDA,TAMBACOUNDA,ECOLE MAMADOU LAMINE DANFAKHA,5,587.0,CLASSE CE2B
TAMBACOUNDA,TAMBACOUNDA,ECOLE PLATEAU,1,558.0,CLASSE CPB
TAMBACOUNDA,TAMBACOUNDA,ECOLE PLATEAU,2,561.0,CLASSE CE1A
TAMBACOUNDA,TAMBACOUNDA,ECOLE PLATEAU,3,555.0,CLASSE CE1B
TAMBACOUNDA,TAMBACOUNDA,ECOLE PLATEAU,4,559.0,CLASSE CE2A
TAMBACOUNDA,TAMBACOUNDA,ECOLE PLATEAU,5,559.0,CLASSE CE2B
TAMBACOUNDA,TAMBACOUNDA,ECOLE PLATEAU,6,556.0,CLASSE CM1A
TAMBACOUNDA,TAMBACOUNDA,ECOLE PLATEAU,7,559.0,CLASSE CM1B
TAMBACOUNDA,TAMBACOUNDA,ECOLE PLATEAU,8,555.0,CLASSE CM2A
TAMBACOUNDA,TAMBACOUNDA,ECOLE PLATEAU,9,554.0,CLASSE CM2B
TAMBACOUNDA,TAMBACOUNDA,ECOLE PLATEAU,10,555.0,CLASSE CIA
TAMBACOUNDA,TAMBACOUNDA,ECOLE PLATEAU,11,558.0,CLASSE CI B
TAMBACOUNDA,TAMBACOUNDA,ECOLE PLATEAU,12,557.0,SALLE DE CLASSE
TAMBACOUNDA,TAMBACOUNDA,ECOLE PLATEAU,13,557.0,ABRI PROVISOIRE
TAMBACOUNDA,TAMBACOUNDA,ECOLE PLATEAU COMPLEMENTAIRE,1,518.0,CLASSE CE1A
TAMBACOUNDA,TAMBACOUNDA,ECOLE PLATEAU COMPLEMENTAIRE,2,522.0,CLASSE CE1B
TAMBACOUNDA,TAMBACOUNDA,ECOLE PLATEAU COMPLEMENTAIRE,3,517.0,CLASSE CPB
TAMBACOUNDA,TAMBACOUNDA,ECOLE PLATEAU COMPLEMENTAIRE,4,490.0,SALLE DE CLASSE
TAMBACOUNDA,TAMBACOUNDA,ECOLE QUINZAMBOUGOU,1,580.0,CLASSE CE2A
TAMBACOUNDA,TAMBACOUNDA,ECOLE QUINZAMBOUGOU,2,582.0,CLASSE CE2B
TAMBACOUNDA,TAMBACOUNDA,ECOLE QUINZAMBOUGOU,3,582.0,CLASSE CM1A
TAMBACOUNDA,TAMBACOUNDA,ECOLE QUINZAMBOUGOU,4,581.0,CLASSE CM2A
TAMBACOUNDA,TAMBACOUNDA,ECOLE QUINZAMBOUGOU,5,582.0,CLASSE CM2B
