DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBOUR,DIASS,BANDIA BAMBARA,01,429,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,BANDIA SESSENE,01,570,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,BANDIA SESSENE,02,38,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,BOUKHOU,01,532,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,BOUKHOU,02,531,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,BOUKHOU,03,531,ECOLE ELEMENTAIRE SALLE 3
MBOUR,DIASS,DAGGA,01,447,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,DAGGA,02,445,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,DIASS,01,598,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,DIASS,02,599,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,DIASS,03,598,ECOLE ELEMENTAIRE SALLE 3
MBOUR,DIASS,DIASS,04,597,ECOLE ELEMENTAIRE SALLE 4
MBOUR,DIASS,DIASS,05,594,ECOLE ELEMENTAIRE SALLE 5
MBOUR,DIASS,DIASS,06,598,ECOLE ELEMENTAIRE SALLE 6
MBOUR,DIASS,DIASS NGAM,01,575,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,DIASS NGAM,02,569,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,DIASS NGAM,03,79,ECOLE ELEMENTAIRE SALLE 3
MBOUR,DIASS,DOBOUR,01,294,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,ECOLE KANDAM,01,592,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,ECOLE KANDAM,02,591,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,GANDOUL,01,431,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,KHOLPA,01,564,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,KIRENE,01,541,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,KIRENE,02,545,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,KIRENE,03,240,ECOLE ELEMENTAIRE SALLE 3
MBOUR,DIASS,MBAYARD,01,484,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,MBAYARD,02,167,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,PACKY,01,471,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,PACKY,02,472,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,RAFFO,01,288,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,SAMKEDJ,01,488,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,SAMKEDJ,02,489,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,THICKY,01,577,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,THICKY,02,580,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,THICKY,03,575,ECOLE ELEMENTAIRE SALLE 3
MBOUR,DIASS,THICKY,04,517,ECOLE ELEMENTAIRE SALLE 4
MBOUR,DIASS,TOGLOU OUOLOF,01,385,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,TOGLOU OUOLOF,02,384,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,TOGLOU SERERE,01,553,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,TOGLOU SERERE,02,552,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,TOGLOU SERERE,03,553,ECOLE ELEMENTAIRE SALLE 3
MBOUR,DIASS,TOGLOU SERERE,04,554,ECOLE ELEMENTAIRE SALLE 4
