DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBOUR,FISSEL,BACK,1,508.0,CLASSE CE1
MBOUR,FISSEL,BADD,1,506.0,CLASSE CI
MBOUR,FISSEL,CISSIS,1,327.0,CLASSE CE1
MBOUR,FISSEL,CISSIS,2,326.0,CLASSE CM1
MBOUR,FISSEL,DIOB,1,307.0,CLASSE CE2
MBOUR,FISSEL,FISSEL,1,543.0,CLASSE CM2A
MBOUR,FISSEL,FISSEL,2,553.0,CLASSE CM1A
MBOUR,FISSEL,FISSEL,3,256.0,CLASSE CM2 B
MBOUR,FISSEL,FISSEL SERERE,1,470.0,CLASSE C E 2
MBOUR,FISSEL,FISSEL SERERE,2,470.0,CLASSE CM2
MBOUR,FISSEL,KHAOUL GODOGUENE,1,310.0,CLASSE CM1
MBOUR,FISSEL,KHAOUL GODOGUENE,2,309.0,CLASSE CE1
MBOUR,FISSEL,KHAOUL GODOGUENE,3,309.0,CLASSE CM2
MBOUR,FISSEL,KHAOUL TOC NGOL,1,384.0,ECOLE CLASSE CE2
MBOUR,FISSEL,KOBORANE,1,125.0,ECOLE CLASSE CM2
MBOUR,FISSEL,LAMBAYENE,1,475.0,CLASSE CE2
MBOUR,FISSEL,LANGHOMACK,1,421.0,CLASSE CM2
MBOUR,FISSEL,MBALACAM,1,321.0,ECOLE CLASSE CI
MBOUR,FISSEL,MBALAMSONE,1,373.0,CLASSE CM1A
MBOUR,FISSEL,MBALAMSONE,2,372.0,CLASSE CE1
MBOUR,FISSEL,MBEDAP,1,190.0,CLASSE CE1
MBOUR,FISSEL,MBELLANGHOUT,1,238.0,CLASSE CI
MBOUR,FISSEL,MBOUFOUDJI,1,382.0,CLASSE CE1
MBOUR,FISSEL,MBOUFOUDJI,2,383.0,CE2 ECOLE ELEMENTAIRE
MBOUR,FISSEL,MBOULOUCTENE SECCO,1,326.0,CLASSE CE2
MBOUR,FISSEL,MEDINE,1,471.0,CLASSE CM2
MBOUR,FISSEL,NDAGDAM,1,259.0,CLASSE CI
MBOUR,FISSEL,NDIASSANE,1,388.0,CLASSE CM2
MBOUR,FISSEL,NDIASSANE,2,388.0,CLASSE CE1
MBOUR,FISSEL,NDIASSANE KEUR NDIOUMA,1,218.0,ECOLE CLASSE CM1
MBOUR,FISSEL,NDOFFANE,1,339.0,CLASSE CM2
MBOUR,FISSEL,NDOUNGH,1,457.0,CLASSE CM1
MBOUR,FISSEL,NDOUNGH,2,456.0,CLASSE CE2
MBOUR,FISSEL,NDOYOMBOUTH,1,280.0,CLASSE CM1
MBOUR,FISSEL,NGHONEME,1,235.0,CLASSE CI
MBOUR,FISSEL,NGUERANE,1,160.0,ECOLE CLASSE CP
MBOUR,FISSEL,SASSAKH,1,181.0,ECOLE CLASSE ALPHABETISATION
MBOUR,FISSEL,SASSAL,1,217.0,CLASSE CM1
MBOUR,FISSEL,SOP,1,508.0,CLASSE CM1
MBOUR,FISSEL,SOP,2,508.0,CLASSE CE2
MBOUR,FISSEL,TOCOMACK,1,537.0,CLASSE CP
MBOUR,FISSEL,TOCOMACK,2,96.0,ECOLE CLASSE CM2
