DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,1,579.0,SALLE 1
MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,2,577.0,SALLE 4
MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,3,574.0,SALLE 6
MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,4,576.0,SALLE 10
MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,5,577.0,SALLE 14
MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,6,577.0,SALLE 18
MBOUR,JOAL FADIOUTH,CENTRE SOCIAL THERESE GUIDE NDIAYE,1,384.0,SALLE 1
MBOUR,JOAL FADIOUTH,CENTRE SOCIAL THERESE GUIDE NDIAYE,2,383.0,SALLE 2
MBOUR,JOAL FADIOUTH,CENTRE SOCIAL THERESE GUIDE NDIAYE,3,384.0,SALLE DE REUNION 1
MBOUR,JOAL FADIOUTH,CENTRE SOCIAL THERESE GUIDE NDIAYE,4,383.0,SALLE DE REUNION 2
MBOUR,JOAL FADIOUTH,ECOLE SAINTE-THERESE,1,396.0,CLASSE CIA
MBOUR,JOAL FADIOUTH,ECOLE SAINTE-THERESE,2,395.0,CLASSE CM2
MBOUR,JOAL FADIOUTH,ECOLE SAINTE-THERESE,3,395.0,SALLE DE LA BIBLIOTHEQUE
MBOUR,JOAL FADIOUTH,ECOLE SAINTE-THERESE,4,395.0,CLASSE CE2A
MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,1,347.0,CLASSE CIA
MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,2,346.0,CLASSE CIB
MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,3,347.0,CLASSE CPA
MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,4,346.0,CLASSE CPB
MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,5,345.0,CLASSE CE1A
MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,6,347.0,CLASSE CE1B
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,1,529.0,LYCEE LEOPOLD S.SENGHOR SALLE 1
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,2,527.0,LYCEE LEOPOLD S.SENGHOR SALLE 2
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,3,528.0,LYCEE LEOPOLD S.SENGHOR SALLE 3
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,4,530.0,LYCEE LEOPOLD S.SENGHOR SALLE 4
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,5,527.0,LYCEE LEOPOLD S.SENGHOR SALLE 9
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,6,529.0,LYCEE LEOPOLD S.SENGHOR SALLE 10
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,7,530.0,LYCEE LEOPOLD S.SENGHOR SALLE 11
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,8,528.0,LYCEE LEOPOLD S.SENGHOR SALLE 12
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,9,528.0,LYCEE LEOPOLD S.SENGHOR SALLE 17
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,10,529.0,LYCEE LEOPOLD S.SENGHOR SALLE 18
MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,11,528.0,LYCEE LEOPOLD S.SENGHOR SALLE 19
