DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBOUR,MBOUR,C E M ELHADJI AHMADOU LAMINE DABO,1,445.0,SALLE 1
MBOUR,MBOUR,C E M ELHADJI AHMADOU LAMINE DABO,2,446.0,SALLE 2
MBOUR,MBOUR,C E M ELHADJI AHMADOU LAMINE DABO,3,448.0,SALLE 3
MBOUR,MBOUR,C E M ELHADJI AHMADOU LAMINE DABO,4,446.0,SALLE 4
MBOUR,MBOUR,C E M ELHADJI AHMADOU LAMINE DABO,5,444.0,SALLE 5
MBOUR,MBOUR,C E M ELHADJI AHMADOU LAMINE DABO,6,446.0,SALLE 6
MBOUR,MBOUR,C E M ELHADJI AHMADOU LAMINE DABO,7,446.0,SALLE 7
MBOUR,MBOUR,CEM GOUYE MOURIDE,1,521.0,SALLE 1
MBOUR,MBOUR,CEM GOUYE MOURIDE,2,521.0,SALLE 2
MBOUR,MBOUR,CEM GOUYE MOURIDE,3,520.0,SALLE 3
MBOUR,MBOUR,CHATEAU D'EAU NORD,1,585.0,CLASSE CM1 A
MBOUR,MBOUR,CHATEAU D'EAU NORD,2,583.0,CLASSE CM1 B
MBOUR,MBOUR,CHATEAU D'EAU NORD,3,586.0,CLASSE CM2 A
MBOUR,MBOUR,CHATEAU D'EAU NORD,4,588.0,CLASSE CM2 B
MBOUR,MBOUR,CHATEAU D'EAU NORD,5,585.0,CLASSE CI A
MBOUR,MBOUR,CHATEAU D'EAU NORD,6,584.0,CLASSE CI B
MBOUR,MBOUR,CHATEAU D'EAU NORD,7,585.0,CLASSE CP A
MBOUR,MBOUR,CHATEAU D'EAU NORD,8,584.0,CLASSE CP B
MBOUR,MBOUR,CHATEAU D'EAU NORD,9,584.0,CLASSE CE1 A
MBOUR,MBOUR,CHATEAU D'EAU NORD,10,587.0,CLASSE CE1 B
MBOUR,MBOUR,COLLEGE SAINT ESPRIT,1,414.0,CLASSE CIB
