DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBOUR,NDIAGANIAO,BOTH ESCALE,1,486.0,CLASSE CM1A
MBOUR,NDIAGANIAO,BOTH ESCALE,2,488.0,CLASSE CE1A
MBOUR,NDIAGANIAO,BOTH ESCALE,3,486.0,CLASSE CPA
MBOUR,NDIAGANIAO,BOTH SERERE,1,432.0,ECOLE ELEM. NDIAGANIAO 2 CLASSE CE2
MBOUR,NDIAGANIAO,DAPHTHIOR,1,165.0,ECOLE CLASSE CP
MBOUR,NDIAGANIAO,FANDOR,1,298.0,SALLE POLYVALENTE
MBOUR,NDIAGANIAO,FAO,1,383.0,CLASSE CM 2
MBOUR,NDIAGANIAO,GNIGNING,1,264.0,CLASSE CM2
MBOUR,NDIAGANIAO,GODAGUENE,1,593.0,CLASSE CP
MBOUR,NDIAGANIAO,GODAGUENE,2,591.0,CLASSE CE1
MBOUR,NDIAGANIAO,GODAGUENE,3,80.0,CLASSE CI
MBOUR,NDIAGANIAO,GUELOR OUOLOF,1,378.0,CLASSE CM1
MBOUR,NDIAGANIAO,GUELOR SERERE,1,303.0,ECOLE CLASSE CI
MBOUR,NDIAGANIAO,GUITYR OUOLOF,1,143.0,SALLE BATIMENT POLYVALENT
MBOUR,NDIAGANIAO,GUITYR SERERE,1,482.0,CLASSE CI
MBOUR,NDIAGANIAO,KEUR MALICK NDIAYE,1,98.0,ECOLE CLASSE CE2
MBOUR,NDIAGANIAO,KOTHIANE,1,371.0,ECOLE CLASSE CM1
MBOUR,NDIAGANIAO,KOULOUCK KEUR DOUFY,1,138.0,ECOLE CLASSE CM1
MBOUR,NDIAGANIAO,KOULOUCK MBADA,1,323.0,CLASSE CE1
MBOUR,NDIAGANIAO,KOULOUCK OUOLOF,1,263.0,SALLE BATIMENT POLYVALENT
MBOUR,NDIAGANIAO,KOULOUCK SERERE,1,575.0,CLASSE CM 2
MBOUR,NDIAGANIAO,KOULOUCK SERERE,2,50.0,CM2 B
MBOUR,NDIAGANIAO,KOUTHIE,1,239.0,CLASSE CM1
MBOUR,NDIAGANIAO,LOUMATYR,1,448.0,ECOLE CLASSE CE2
MBOUR,NDIAGANIAO,MBAFAYE,1,516.0,CLASSE CM2
MBOUR,NDIAGANIAO,MBALAKHATE,1,530.0,CLASSE CE2
MBOUR,NDIAGANIAO,MBALAKHATE,2,530.0,CLASSE CP
MBOUR,NDIAGANIAO,MBOULOUCTENE KOULOUCK,1,275.0,CLASSE CM1
MBOUR,NDIAGANIAO,MBOULOUCTENE KOULOUCK,2,275.0,CLASSE CP
MBOUR,NDIAGANIAO,NDADAFAKH,1,434.0,CLASSE CM2
MBOUR,NDIAGANIAO,NDAME,1,423.0,CLASSE CM2
MBOUR,NDIAGANIAO,NDIANDIAYE,1,593.0,CLASSE CM1A
MBOUR,NDIAGANIAO,NDIANDIAYE,2,589.0,CLASSE CM1B
MBOUR,NDIAGANIAO,NDIANDIAYE,3,587.0,CLASSE CE2
MBOUR,NDIAGANIAO,NDIANDIAYE,4,106.0,CM2
MBOUR,NDIAGANIAO,NDIARAO,1,394.0,CLASSE CE2
MBOUR,NDIAGANIAO,NDIARAO,2,396.0,CLASSE CM2
MBOUR,NDIAGANIAO,NDINGLER,1,537.0,CLASSE CM2
MBOUR,NDIAGANIAO,NDINGLER,2,85.0,CE2
MBOUR,NDIAGANIAO,NDIOUDIOUF,1,349.0,ECOLE CLASSE CM2
MBOUR,NDIAGANIAO,NDORONG,1,574.0,CLASSE CP
MBOUR,NDIAGANIAO,NGAKHAYE,1,179.0,ECOLE CLASSE CM1
MBOUR,NDIAGANIAO,NGUEDJ,1,409.0,CLASSE CI
MBOUR,NDIAGANIAO,NGUEDJ,2,409.0,CLASSE CM2
MBOUR,NDIAGANIAO,SANGHAYE,1,275.0,ECOLE CLASSE CM2
MBOUR,NDIAGANIAO,SESSENE,1,177.0,ECOLE CLASSE CE2
MBOUR,NDIAGANIAO,SOUSSOUM PEULH,1,183.0,ECOLE CLASSE CE2
MBOUR,NDIAGANIAO,SOUSSOUNG,1,377.0,CLASSE CI
MBOUR,NDIAGANIAO,SOUSSOUNG,2,377.0,CLASSE CP
MBOUR,NDIAGANIAO,THIANDENE,1,516.0,CLASSE CM2
MBOUR,NDIAGANIAO,THIANDENE,2,515.0,CLASSE CI
MBOUR,NDIAGANIAO,THIANDENE,3,516.0,CLASSE CP
MBOUR,NDIAGANIAO,TITINE,1,498.0,ECOLE CLASSE CP
