DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBOUR,NGUEKHOKH,ECOLE 2,01,582,CLASSE CM2
MBOUR,NGUEKHOKH,ECOLE 2,02,583,CLASSE CM1
MBOUR,NGUEKHOKH,ECOLE 2,03,582,CLASSE CE1
MBOUR,NGUEKHOKH,ECOLE 2,04,582,CLASSE CE2
MBOUR,NGUEKHOKH,ECOLE 2,05,584,CLASSE CE 1
MBOUR,NGUEKHOKH,ECOLE 2,06,581,SALLE DE CLASSE
MBOUR,NGUEKHOKH,ECOLE 2,07,582,SALLE DE CLASSE
MBOUR,NGUEKHOKH,ECOLE 2,08,579,SALLE DE CLASSE
MBOUR,NGUEKHOKH,ECOLE 2,09,583,ECOLE ELEMENTAIRE SALLE 9
MBOUR,NGUEKHOKH,ECOLE 2,10,583,ECOLE ELEMENTAIRE SALLE 10
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,01,585,CLASSE CM 1 B
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,02,588,CLASSE CM1A
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,03,587,CLASSE CE2B
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,04,586,CLASSE CE1C
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,05,587,CLASSE CE1B
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,06,590,CLASSE CE1A
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,07,590,CLASSE CE2A
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,08,589,CLASSE CPA
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,09,590,CLASSE CPB
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,10,588,CLASSE CI A
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,11,588,SALLE DE CLASSE
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,12,587,SALLE DE CLASSE
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,13,581,SALLE DE CLASSE
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,14,589,SALLE DE CLASSE
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,15,581,SALLE DE CLASSE
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,16,586,ECOLE ELEMENTAIRE SALLE DE CLASSE
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,17,584,ECOLE ELEMENTAIRE SALLE DE CLASSE
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,18,576,ECOLE ELEMENTAIRE SALLE DE CLASSE
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,19,586,ECOLE ELEMENTAIRE SALLE DE CLASSE
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,20,424,SALLE DE CLASSE
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,21,423,SALLE DE CLASSE
