DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBOUR,NGUENIENE,AGA BABOU,01,460,CLASSE CM2
MBOUR,NGUENIENE,AGA BIRAM,01,326,CLASSE CM1
MBOUR,NGUENIENE,AGA NDIMACK,01,472,CLASSE CE1
MBOUR,NGUENIENE,BAGANA OUOLOF,01,128,ABRI PROVISOIRE
MBOUR,NGUENIENE,BAGANE SERERE,01,281,ABRI PROVISOIRE
MBOUR,NGUENIENE,BALLABOUGOU,01,464,CLASSE CM1
MBOUR,NGUENIENE,DIOLOFIRA,01,537,CLASSE CM 2
MBOUR,NGUENIENE,FADIAL,01,534,CLASSE CM2
MBOUR,NGUENIENE,FADIAL,02,530,CLASSE CM1
MBOUR,NGUENIENE,FOUA,01,317,CLASSE CM1
MBOUR,NGUENIENE,FOUA,02,317,CLASSE C I
MBOUR,NGUENIENE,FOUA 2,01,453,CLASSE CM1
MBOUR,NGUENIENE,LEONA,01,366,CLASSE CE1
MBOUR,NGUENIENE,MBODIENE,01,554,CLASSE CE1
MBOUR,NGUENIENE,MBODIENE,02,554,CLASSE CE2
MBOUR,NGUENIENE,MBODIENE,03,553,CLASSE CM1
MBOUR,NGUENIENE,NDIAMANE,01,348,CLASSE CM2
MBOUR,NGUENIENE,NDIAMANE,02,347,CLASSE CI
MBOUR,NGUENIENE,NDIANDA,01,583,CLASSE CPA
MBOUR,NGUENIENE,NDIANDA,02,574,CLASSE C E 1
MBOUR,NGUENIENE,NDIANDA,03,580,CLASSE CPB
MBOUR,NGUENIENE,NDIANDA,04,157,SALLE DE CLASSE
MBOUR,NGUENIENE,NDIAROGNE,01,300,CLASSE CE1
MBOUR,NGUENIENE,NDIAROGNE SERERE,01,243,ABRI PROVISOIRE
MBOUR,NGUENIENE,NDOFANE,01,433,CLASSE CE1
MBOUR,NGUENIENE,NDOFANE,02,431,CLASSE CE2
MBOUR,NGUENIENE,NGUENIENE,01,563,CLASSE CM1A
MBOUR,NGUENIENE,NGUENIENE,02,555,CLASSE CE2B
MBOUR,NGUENIENE,NGUENIENE,03,565,CLASSE CE2A
MBOUR,NGUENIENE,NGUENIENE,04,560,CLASSE CPB
MBOUR,NGUENIENE,NGUENIENE,05,566,CLASSE CE1B
MBOUR,NGUENIENE,NGUENIENE,06,568,CLASSE CE1A
MBOUR,NGUENIENE,NGUENIENE,07,564,CLASSE CPA
MBOUR,NGUENIENE,NGUENIENE,08,540,ABRI PROVISOIRE
MBOUR,NGUENIENE,NGUENIENE PEULH,01,254,ABRI PROVISOIRE
