DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBOUR,POPENGUINE,NDAYANE,1,590.0,CLASSE CM1 A
MBOUR,POPENGUINE,NDAYANE,2,585.0,CLASSE CM1 B
MBOUR,POPENGUINE,NDAYANE,3,588.0,ECOLE ELEMENTAIRE SALLE 3
MBOUR,POPENGUINE,NDAYANE,4,588.0,CLASSE CM2 A
MBOUR,POPENGUINE,NDAYANE,5,564.0,SALLE DE CLASSE
MBOUR,POPENGUINE,NDAYANE,6,582.0,SALLE DE CLASSE
MBOUR,POPENGUINE,NDAYANE,7,539.0,ECOLE ELEMENTAIRE SALLE 7
MBOUR,POPENGUINE,NDAYANE,8,196.0,ECOLE ELEMENTAIRE SALLE 8
MBOUR,POPENGUINE,POPENGUINE,1,536.0,CLASSE CM2
MBOUR,POPENGUINE,POPENGUINE,2,535.0,CLASSE CE1 A
MBOUR,POPENGUINE,POPENGUINE,3,537.0,CLASSE CM2
MBOUR,POPENGUINE,POPENGUINE,4,536.0,SALLE DE CLASSE
MBOUR,POPENGUINE,POPENGUINE SERERE,1,511.0,CLASSE CE1
MBOUR,POPENGUINE,POPENGUINE SERERE,2,256.0,SALLE DE CLASSE
