DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBOUR,SALY PORTUDAL,SALY BAMBARA,01,578,CLASSE CIA
MBOUR,SALY PORTUDAL,SALY BAMBARA,02,576,CLASSE CPA
MBOUR,SALY PORTUDAL,SALY BAMBARA,03,577,CLASSE CE1 A
MBOUR,SALY PORTUDAL,SALY BAMBARA,04,575,CLASSE CE1 B
MBOUR,SALY PORTUDAL,SALY BAMBARA,05,576,CLASSE CM2
MBOUR,SALY PORTUDAL,SALY BAMBARA,06,576,CLASSE CE2 D
MBOUR,SALY PORTUDAL,SALY BAMBARA,07,575,SALLE DE CLASSE
MBOUR,SALY PORTUDAL,SALY BAMBARA,08,577,ECOLE ELEMENTAIRE SALLE DE CLASSE
MBOUR,SALY PORTUDAL,SALY CARREFOUR,01,585,CLASSE CM1
MBOUR,SALY PORTUDAL,SALY CARREFOUR,02,584,CLASSE CM2
MBOUR,SALY PORTUDAL,SALY CARREFOUR,03,584,CLASSE CE2
MBOUR,SALY PORTUDAL,SALY CARREFOUR,04,582,CLASSE CE 1
MBOUR,SALY PORTUDAL,SALY CARREFOUR,05,585,CLASSE CP/A
MBOUR,SALY PORTUDAL,SALY CARREFOUR,06,584,SALLE DE CLASSE
MBOUR,SALY PORTUDAL,SALY CARREFOUR,07,585,SALLE DE CLASSE
MBOUR,SALY PORTUDAL,SALY CARREFOUR,08,586,SALLE DE CLASSE
MBOUR,SALY PORTUDAL,SALY CARREFOUR,09,587,ECOLE ELEMENTAIRE SALLE DE CLASSE
MBOUR,SALY PORTUDAL,SALY CARREFOUR,10,587,ECOLE ELEMENTAIRE SALLE DE CLASSE
MBOUR,SALY PORTUDAL,SALY PORTUDAL,01,565,ECOLE ELEMENTAIRE SALLE 1
MBOUR,SALY PORTUDAL,SALY PORTUDAL,02,563,ECOLE ELEMENTAIRE SALLE 2
MBOUR,SALY PORTUDAL,SALY PORTUDAL,03,562,ECOLE ELEMENTAIRE SALLE 3
MBOUR,SALY PORTUDAL,SALY PORTUDAL,04,563,ECOLE ELEMENTAIRE SALLE 4
MBOUR,SALY PORTUDAL,SALY PORTUDAL,05,563,ECOLE ELEMENTAIRE SALLE 5
MBOUR,SALY PORTUDAL,SALY PORTUDAL,06,562,ECOLE ELEMENTAIRE SALLE 6
MBOUR,SALY PORTUDAL,SALY PORTUDAL,07,561,ECOLE ELEMENTAIRE SALLE 7
MBOUR,SALY PORTUDAL,SALY PORTUDAL,08,563,ECOLE ELEMENTAIRE SALLE 8
MBOUR,SALY PORTUDAL,SALY PORTUDAL,09,561,ECOLE ELEMENTAIRE SALLE 9
MBOUR,SALY PORTUDAL,SALY PORTUDAL,10,563,ECOLE ELEMENTAIRE SALLE 10
MBOUR,SALY PORTUDAL,SALY PORTUDAL,11,561,ECOLE ELEMENTAIRE SALLE 11
MBOUR,SALY PORTUDAL,SALY PORTUDAL,12,562,ECOLE ELEMENTAIRE SALLE 12
MBOUR,SALY PORTUDAL,SALY PORTUDAL,13,561,ECOLE ELEMENTAIRE SALLE 13
MBOUR,SALY PORTUDAL,SALY PORTUDAL,14,563,NOUVELLE ECOLE ELEMENTAIRE EN FACE
MBOUR,SALY PORTUDAL,SALY PORTUDAL,15,562,NOUVELLE ECOLE ELEMENTAIRE EN FACE
MBOUR,SALY PORTUDAL,SALY PORTUDAL,16,564,NOUVELLE ECOLE ELEMENTAIRE SALLE 8
