DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBOUR,SANDIARA,FAYLAR,01,438,CLASSE CE2
MBOUR,SANDIARA,FAYLAR,02,316,SALLE DE CLASSE
MBOUR,SANDIARA,GODAGUENE,01,382,CLASSE CE2
MBOUR,SANDIARA,GODAGUENE,02,382,CLASEE CMI
MBOUR,SANDIARA,KIBICK,01,264,CLASSE CE2
MBOUR,SANDIARA,KOUTHIE,01,382,CLASSE CM2
MBOUR,SANDIARA,LOULY BENTEGNE,01,549,CLASSE CI
MBOUR,SANDIARA,LOULY MBAFAYE,01,385,CLASSE CI
MBOUR,SANDIARA,LOULY MBAFAYE,02,384,CLASSE CE1
MBOUR,SANDIARA,LOULY NDIA,01,329,CLASSE CM1
MBOUR,SANDIARA,LOULY NGOGOM,01,418,CLASSE CP
MBOUR,SANDIARA,LOULY SINDIANE,01,366,CLASSE CE1
MBOUR,SANDIARA,MBOUROKH,01,504,CLASSE CM1
MBOUR,SANDIARA,NDIOUKH FISSEL,01,435,CLASSE CE2
MBOUR,SANDIARA,NDIOUKH THIOROKH,01,540,CLASSE CP
MBOUR,SANDIARA,NDOLLOR,01,245,CLASSE CM2
MBOUR,SANDIARA,NGOMENE,01,218,CLASSE ARABE PUBLIQUE
MBOUR,SANDIARA,NIANIAR,01,339,CLASSE CE2
MBOUR,SANDIARA,SAMANE,01,84,ABRI PROVISOIRE
MBOUR,SANDIARA,SANDIARA,01,575,CLASSE CI
MBOUR,SANDIARA,SANDIARA,02,575,CLASSE CPA
MBOUR,SANDIARA,SANDIARA,03,574,CLASSE CM1C
MBOUR,SANDIARA,SANDIARA,04,574,CLASSE CM2A
MBOUR,SANDIARA,SANDIARA,05,572,CLASSE CM2B
MBOUR,SANDIARA,SANDIARA,06,574,ECOLE 1
MBOUR,SANDIARA,SANDIARA,07,567,ECOLE 1 CLASSE CE2
MBOUR,SANDIARA,SANDIARA,08,309,CP B
MBOUR,SANDIARA,SOUKHEME,01,573,ABRI PROVISOIRE
MBOUR,SANDIARA,SOUKHEME,02,35,ABRI PROVISOIRE
MBOUR,SANDIARA,SOUSSANE,01,590,ABRI PROVISOIRE
MBOUR,SANDIARA,SOUSSANE,02,49,ABRI PROVISOIRE
