DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBOUR,SESSENE,DIOKHAR,1,389.0,CLASSE CM1
MBOUR,SESSENE,DIOKHAR,2,388.0,CLASSE CM2
MBOUR,SESSENE,GOHE,1,339.0,CLASSE CE2
MBOUR,SESSENE,GOHE,2,339.0,CLASSE CI
MBOUR,SESSENE,GOROU,1,450.0,CLASSE CE1
MBOUR,SESSENE,KEUR EL HADJI,1,263.0,CLASSE CI ECOLE ELEMENTAIRE
MBOUR,SESSENE,KEUR YERIM,1,477.0,CLASSE CM1
MBOUR,SESSENE,KHEME,1,443.0,CLASSE CE1
MBOUR,SESSENE,LALLAM,1,222.0,CLASSE CE1
MBOUR,SESSENE,NDIADIANE,1,474.0,CLASSE CM1
MBOUR,SESSENE,NDIEFFER,1,405.0,CLASSE CE2
MBOUR,SESSENE,NDIEFFER,2,404.0,CLASSE CM2
MBOUR,SESSENE,NDIOUDIOUF,1,333.0,CLASSE CE2
MBOUR,SESSENE,NGUEDIANE,1,488.0,CLASSE CI
MBOUR,SESSENE,NIOMAR,1,312.0,CLASSE CM2
MBOUR,SESSENE,NIOMAR,2,312.0,CLASSE CE1
MBOUR,SESSENE,SAO,1,407.0,CLASSE CI
MBOUR,SESSENE,SAOKOM,1,321.0,ABRI PROVISOIRE 1
MBOUR,SESSENE,SAOKOM,2,322.0,ABRI PROVISOIRE 2
MBOUR,SESSENE,SESSENE,1,600.0,CLASSE CM1
MBOUR,SESSENE,SESSENE,2,600.0,CLASSE CM2
MBOUR,SESSENE,TATTAGUINE MBAMBARA,1,383.0,CLASSE CE2
MBOUR,SESSENE,TATTAGUINE SERERE,1,509.0,CLASSE CP
MBOUR,SESSENE,YABO YABO,1,326.0,CLASSE CIA
MBOUR,SESSENE,YABO YABO,2,325.0,CLASSE CE1
