DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBOUR,SINDIA,BABEL,01,180,ECOLE ELEMENTAIRE DE BABEL
MBOUR,SINDIA,DJILAKH,01,462,ECOLE ELEMENTAIRE SALLE 01
MBOUR,SINDIA,DJILAKH,02,462,ECOLE ELEMENTAIRE SALLE02
MBOUR,SINDIA,GANDIGAL,01,565,ECOLE ELEMENTAIRE SALLE 01
MBOUR,SINDIA,GANDIGAL,02,563,ECOLE ELEMENTAIRE SALLE 2
MBOUR,SINDIA,GANDIGAL,03,394,ECOLE ELEMENTAIRE SALLE 3
MBOUR,SINDIA,GUEREO,01,580,ECOLE ELEMENTAIRE SALLE 1
MBOUR,SINDIA,GUEREO,02,579,ECOLE ELEMENTAIRE SALLE 2
MBOUR,SINDIA,GUEREO,03,589,ECOLE ELEMENTAIRE SALLE 3
MBOUR,SINDIA,GUEREO,04,589,ECOLE ELEMENTAIRE SALLE 4
MBOUR,SINDIA,GUEREO,05,585,ECOLE ELEMENTAIRE SALLE 5
MBOUR,SINDIA,GUEREO,06,587,ECOLE ELEMENTAIRE SALLE 6
MBOUR,SINDIA,GUEREO,07,469,ECOLE ELEMENTAIRE SALLE 7
MBOUR,SINDIA,GUEREO,08,229,ECOLE ELEMENTAIRE SALLE 8
MBOUR,SINDIA,KEUR MASSOUKA,01,561,ECOLE ELEMENTAIRE
MBOUR,SINDIA,KEUR MASSOUKA,02,90,ECOLE ELEMENTAIRE SALLE DE CLASSE
MBOUR,SINDIA,KEUR SONKO,01,166,ECOLE ELEMENTAIRE SALLE 1
MBOUR,SINDIA,KINIABOUR 1,01,422,ECOLE ELEMENTAIRE SALLE 1
MBOUR,SINDIA,KINIABOUR 1,02,422,ECOLE ELEMENTAIRE SALLE 2
MBOUR,SINDIA,KINIABOUR 2,01,482,ECOLE ELEMENTAIRE SALLE 1
MBOUR,SINDIA,KINIABOUR 2,02,482,ECOLE ELEMENTAIRE SALLE 2
MBOUR,SINDIA,NDIOROKH MBOTH,01,436,ECOLE ELEMENTAIRE SALLE DE CLASSE
MBOUR,SINDIA,NDIOROKH NDOUTANE,01,245,CASE DE SANTE
MBOUR,SINDIA,NGUERIGNE,01,518,ECOLE ELEMENTAIRE SALLE 1
MBOUR,SINDIA,NGUERIGNE,02,520,ECOLE ELEMENTAIRE SALLE 2
MBOUR,SINDIA,NGUERIGNE,03,518,ECOLE ELEMENTAIRE SALLE 3
MBOUR,SINDIA,SINDIA,01,567,ECOLE ELEMENTAIRE SALLE 1
MBOUR,SINDIA,SINDIA,02,568,ECOLE ELEMENTAIRE SALLE 2
MBOUR,SINDIA,SINDIA,03,570,ECOLE ELEMENTAIRE SALLE 3
MBOUR,SINDIA,SINDIA,04,568,ECOLE ELEMENTAIRE SALLE 4
MBOUR,SINDIA,SINDIA,05,553,ECOLE ELEMENTAIRE SALLE 5
MBOUR,SINDIA,SINDIA,06,556,ECOLE ELEMENTAIRE SALLE 6
MBOUR,SINDIA,SINDIA,07,328,ECOLE ELEMENTAIRE SALLE 7
MBOUR,SINDIA,SINDIA KAFNGOUNE,01,288,ECOLE ELEMENTAIRE
MBOUR,SINDIA,SINTHIANE,01,241,ECOLE ELEMENTAIRE SALLE DE CLASSE
MBOUR,SINDIA,SOROKHASSAP,01,377,ECOLE ELEMENTAIRE SALLE 1
MBOUR,SINDIA,SOROKHASSAP,02,376,ECOLE ELEMENTAIRE SALLE 2
MBOUR,SINDIA,TENE TOUBAB,01,436,ECOLE ELEMENTAIRE SALLE 1
MBOUR,SINDIA,TENE TOUBAB,02,436,ECOLE ELEMENTAIRE SALLE 2
MBOUR,SINDIA,TENE TOUBAB,03,435,ECOLE ELEMENTAIRE SALLE 3
MBOUR,SINDIA,THIAFOURA,01,456,ECOLE ELEMENTAIRE SALLE 1
MBOUR,SINDIA,THIAFOURA,02,456,ECOLE ELEMENTAIRE SALLE 2
MBOUR,SINDIA,THIOMBOLODJI,01,499,ECOLE ELE DE TANGUIS SALLE 1
MBOUR,SINDIA,THIOMBOLODJI,02,499,ECOLE ELE TANGUIS SALLE 2
