DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBOUR,SOMONE,SOMONE,01,586,CLASSE CE1 A
MBOUR,SOMONE,SOMONE,02,586,CLASSE CE1 B
MBOUR,SOMONE,SOMONE,03,584,CLASSE CE2 A
MBOUR,SOMONE,SOMONE,04,594,CLASSE CM1 B
MBOUR,SOMONE,SOMONE,05,586,CLASSE CM1 A
MBOUR,SOMONE,SOMONE,06,583,SALLE DE CLASSE
MBOUR,SOMONE,SOMONE,07,578,SALLE DE CLASSE
MBOUR,SOMONE,SOMONE,08,580,SALLE DE CLASSE
MBOUR,SOMONE,SOMONE,09,586,ECOLE ELEMENTAIRE SALLE DE CLASSE
MBOUR,SOMONE,SOMONE,10,497,ECOLE ELEMENTAIRE SALLE DE CLASSE
