REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,MBOUR,DIASS,BANDIA BAMBARA,1,429.0,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,BANDIA SESSENE,1,570.0,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,BANDIA SESSENE,2,38.0,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,BOUKHOU,1,532.0,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,BOUKHOU,2,531.0,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,BOUKHOU,3,531.0,ECOLE ELEMENTAIRE SALLE 3
THIES,MBOUR,DIASS,DAGGA,1,447.0,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,DAGGA,2,445.0,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,DIASS,1,598.0,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,DIASS,2,599.0,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,DIASS,3,598.0,ECOLE ELEMENTAIRE SALLE 3
THIES,MBOUR,DIASS,DIASS,4,597.0,ECOLE ELEMENTAIRE SALLE 4
THIES,MBOUR,DIASS,DIASS,5,594.0,ECOLE ELEMENTAIRE SALLE 5
THIES,MBOUR,DIASS,DIASS,6,598.0,ECOLE ELEMENTAIRE SALLE 6
THIES,MBOUR,DIASS,DIASS NGAM,1,575.0,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,DIASS NGAM,2,569.0,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,DIASS NGAM,3,79.0,ECOLE ELEMENTAIRE SALLE 3
THIES,MBOUR,DIASS,DOBOUR,1,294.0,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,ECOLE KANDAM,1,592.0,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,ECOLE KANDAM,2,591.0,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,GANDOUL,1,431.0,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,KHOLPA,1,564.0,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,KIRENE,1,541.0,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,KIRENE,2,545.0,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,KIRENE,3,240.0,ECOLE ELEMENTAIRE SALLE 3
THIES,MBOUR,DIASS,MBAYARD,1,484.0,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,MBAYARD,2,167.0,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,PACKY,1,471.0,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,PACKY,2,472.0,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,RAFFO,1,288.0,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,SAMKEDJ,1,488.0,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,SAMKEDJ,2,489.0,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,THICKY,1,577.0,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,THICKY,2,580.0,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,THICKY,3,575.0,ECOLE ELEMENTAIRE SALLE 3
THIES,MBOUR,DIASS,THICKY,4,517.0,ECOLE ELEMENTAIRE SALLE 4
THIES,MBOUR,DIASS,TOGLOU OUOLOF,1,385.0,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,TOGLOU OUOLOF,2,384.0,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,TOGLOU SERERE,1,553.0,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,TOGLOU SERERE,2,552.0,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,TOGLOU SERERE,3,553.0,ECOLE ELEMENTAIRE SALLE 3
THIES,MBOUR,DIASS,TOGLOU SERERE,4,554.0,ECOLE ELEMENTAIRE SALLE 4
THIES,MBOUR,FISSEL,BACK,1,508.0,CLASSE CE1
THIES,MBOUR,FISSEL,BADD,1,506.0,CLASSE CI
THIES,MBOUR,FISSEL,CISSIS,1,327.0,CLASSE CE1
THIES,MBOUR,FISSEL,CISSIS,2,326.0,CLASSE CM1
THIES,MBOUR,FISSEL,DIOB,1,307.0,CLASSE CE2
THIES,MBOUR,FISSEL,FISSEL,1,543.0,CLASSE CM2A
THIES,MBOUR,FISSEL,FISSEL,2,553.0,CLASSE CM1A
THIES,MBOUR,FISSEL,FISSEL,3,256.0,CLASSE CM2 B
THIES,MBOUR,FISSEL,FISSEL SERERE,1,470.0,CLASSE C E 2
THIES,MBOUR,FISSEL,FISSEL SERERE,2,470.0,CLASSE CM2
THIES,MBOUR,FISSEL,KHAOUL GODOGUENE,1,310.0,CLASSE CM1
THIES,MBOUR,FISSEL,KHAOUL GODOGUENE,2,309.0,CLASSE CE1
THIES,MBOUR,FISSEL,KHAOUL GODOGUENE,3,309.0,CLASSE CM2
THIES,MBOUR,FISSEL,KHAOUL TOC NGOL,1,384.0,ECOLE CLASSE CE2
THIES,MBOUR,FISSEL,KOBORANE,1,125.0,ECOLE CLASSE CM2
THIES,MBOUR,FISSEL,LAMBAYENE,1,475.0,CLASSE CE2
THIES,MBOUR,FISSEL,LANGHOMACK,1,421.0,CLASSE CM2
THIES,MBOUR,FISSEL,MBALACAM,1,321.0,ECOLE CLASSE CI
THIES,MBOUR,FISSEL,MBALAMSONE,1,373.0,CLASSE CM1A
THIES,MBOUR,FISSEL,MBALAMSONE,2,372.0,CLASSE CE1
THIES,MBOUR,FISSEL,MBEDAP,1,190.0,CLASSE CE1
THIES,MBOUR,FISSEL,MBELLANGHOUT,1,238.0,CLASSE CI
THIES,MBOUR,FISSEL,MBOUFOUDJI,1,382.0,CLASSE CE1
THIES,MBOUR,FISSEL,MBOUFOUDJI,2,383.0,CE2 ECOLE ELEMENTAIRE
THIES,MBOUR,FISSEL,MBOULOUCTENE SECCO,1,326.0,CLASSE CE2
THIES,MBOUR,FISSEL,MEDINE,1,471.0,CLASSE CM2
THIES,MBOUR,FISSEL,NDAGDAM,1,259.0,CLASSE CI
THIES,MBOUR,FISSEL,NDIASSANE,1,388.0,CLASSE CM2
THIES,MBOUR,FISSEL,NDIASSANE,2,388.0,CLASSE CE1
THIES,MBOUR,FISSEL,NDIASSANE KEUR NDIOUMA,1,218.0,ECOLE CLASSE CM1
THIES,MBOUR,FISSEL,NDOFFANE,1,339.0,CLASSE CM2
THIES,MBOUR,FISSEL,NDOUNGH,1,457.0,CLASSE CM1
THIES,MBOUR,FISSEL,NDOUNGH,2,456.0,CLASSE CE2
THIES,MBOUR,FISSEL,NDOYOMBOUTH,1,280.0,CLASSE CM1
THIES,MBOUR,FISSEL,NGHONEME,1,235.0,CLASSE CI
