DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,DIENDER GUEDJI,BAYAKH,01,562,CLASSE CI
THIES,DIENDER GUEDJI,BAYAKH,02,562,CLASSE CP
THIES,DIENDER GUEDJI,BAYAKH,03,562,CLASSE CE1
THIES,DIENDER GUEDJI,BAYAKH,04,563,CLASSE CE2
THIES,DIENDER GUEDJI,BAYAKH,05,565,SALLE DE CLASSE
THIES,DIENDER GUEDJI,BEERTHIALANE,01,576,CLASSE CP
THIES,DIENDER GUEDJI,BEERTHIALANE,02,575,CLASSE CE1
THIES,DIENDER GUEDJI,DAROU NDIAR,01,581,SALLE DE CLASSE
THIES,DIENDER GUEDJI,DAROU NDIAR,02,97,SALLE DE CLASSE
THIES,DIENDER GUEDJI,DIENDER,01,579,CLASSE CP
THIES,DIENDER GUEDJI,DIENDER,02,571,CLASSE CE1
THIES,DIENDER GUEDJI,DIENDER,03,578,ECOLE SALLE DE CLASSE
THIES,DIENDER GUEDJI,DIENDER,04,198,ECOLE SALLE DE CLASSE
THIES,DIENDER GUEDJI,GOLLAM,01,352,CLASSE CP
THIES,DIENDER GUEDJI,GOLLAM,02,353,CLASSE CE1
THIES,DIENDER GUEDJI,KEUR MATAR GUEYE,01,575,CLASSE CP
THIES,DIENDER GUEDJI,KEUR MATAR GUEYE,02,579,CLASSE CE1
THIES,DIENDER GUEDJI,KEUR MATAR GUEYE,03,577,CLASSE CE2
THIES,DIENDER GUEDJI,MBIDIEUM LEBOU,01,432,CLASSE CM1
THIES,DIENDER GUEDJI,MBIDIEUM LEBOU,02,433,SALLE DE CLASSE
THIES,DIENDER GUEDJI,MBISSAO,01,560,CLASSE CE1
THIES,DIENDER GUEDJI,NDAME LO,01,550,CLASSE CP
THIES,DIENDER GUEDJI,NDIAR TIDIANE,01,473,CLASSE CP
THIES,DIENDER GUEDJI,NDIAR TIDIANE,02,472,CLASSE CE1
THIES,DIENDER GUEDJI,NDIEUGUENE,01,598,CLASSE CP
THIES,DIENDER GUEDJI,SANTHIE DARA,01,373,CLASSE CM1
THIES,DIENDER GUEDJI,SANTHIE DARA,02,373,CLASSE CM2
THIES,DIENDER GUEDJI,SANTHIOU MAME GOR,01,279,ABRI PROVISOIRE
THIES,DIENDER GUEDJI,THIEUDEME,01,585,CLASSE CE1
THIES,DIENDER GUEDJI,THIEUDEME,02,590,CLASSE CI
THIES,DIENDER GUEDJI,THIEUDEME,03,63,SALLE DE CLASSE
THIES,DIENDER GUEDJI,THOR,01,580,CLASSE CP
THIES,DIENDER GUEDJI,THOR,02,583,CLASSE CE1
THIES,DIENDER GUEDJI,THOR,03,586,CLASSE CE2
THIES,DIENDER GUEDJI,THOR,04,538,SALLE DE CLASSE
